#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
176,José Berríos,TOR,8,9,0,51,19,142,7.47,2.7,1.39,0.29,71.70%,,4.4,4.54,1
177,Miles Mikolas,WSN,7,10,0,26,26,141,5.94,2.06,1.49,0.295,69.30%,,4.77,4.76,1
178,Matt Strahm,KCR,4,3,1,66,0,66,9.79,2.73,1.06,0.284,74.10%,,3.5,3.55,1
179,Robert Garcia,TEX,5,4,20,64,0,64,9.86,3.18,0.98,0.29,74.10%,,3.54,3.52,0.9
180,Robert Suarez,ATL,5,4,8,67,0,67,9.34,2.82,1,0.292,73.60%,,3.56,3.55,0.9
181,Chris Paddack,MIA,6,9,0,41,21,133,6.91,2.28,1.54,0.293,68.90%,,4.82,4.66,0.9
182,Garrett Cleavinger,TBR,5,3,8,66,0,66,11.37,3.31,1.02,0.287,75.80%,,3.26,3.43,0.9
183,Edwin Uceta,TBR,5,4,12,68,0,68,10.75,3.37,1.14,0.283,74.30%,,3.66,3.71,0.9
184,Camilo Doval,NYY,4,3,2,64,0,64,10.43,4.27,0.77,0.288,73.50%,,3.52,3.52,0.9
185,Mick Abel,MIN,7,9,0,39,21,126,8.09,4.08,1.14,0.297,70.80%,,4.53,4.46,0.9
186,Fernando Cruz,NYY,4,3,1,61,0,61,12.07,4.17,0.96,0.289,75.90%,,3.39,3.38,0.9
187,Patrick Sandoval,BOS,5,5,0,40,10,82,8.33,3.7,0.89,0.304,72.60%,,4,3.91,0.9
188,Ryan Walker,SFG,5,3,27,63,0,63,9.74,2.82,0.78,0.297,74.00%,,3.27,3.26,0.9
189,Robert Gasser,MIL,5,5,0,37,11,84,8.3,2.82,1.22,0.287,72.10%,,4.07,4.22,0.9
190,Raisel Iglesias,ATL,5,3,26,66,0,66,9.66,2.43,1.14,0.291,73.50%,,3.61,3.55,0.8
191,Jacob Latz,TEX,4,5,0,51,11,111,8.65,4.36,1.17,0.285,71.50%,,4.41,4.44,0.8
192,Ian Seymour,TBR,5,6,0,41,11,95,8.6,2.66,1.32,0.283,71.10%,,4.16,4.19,0.8
193,Kyle Harrison,MIL,5,5,0,31,15,89,8.97,3.55,1.24,0.291,72.20%,,4.25,4.28,0.8
