#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
45,Willy Adames,SFG,157,679,26,85,80,12,10.90%,24.60%,0.185,0.278,0.233,0.321,0.418,0.321,108,-0.2,6.4,6.5,3.6
46,Michael Harris II,ATL,133,574,22,73,79,18,4.40%,19.00%,0.189,0.306,0.275,0.311,0.464,0.331,112,1.4,9.5,6.1,3.5
47,Jordan Westburg,BAL,141,609,25,83,80,6,6.60%,21.50%,0.201,0.301,0.264,0.321,0.466,0.338,119,-0.4,13.2,0.5,3.5
48,Jazz Chisholm Jr.,NYY,143,616,30,81,85,30,9.50%,25.60%,0.207,0.282,0.242,0.318,0.448,0.33,113,2.4,12.1,0.7,3.5
49,Matt Olson,ATL,159,686,32,98,95,1,11.90%,24.10%,0.222,0.299,0.256,0.349,0.478,0.355,129,-2.2,21,-10.4,3.4
50,Xander Bogaerts,SDP,141,609,15,68,67,16,8.20%,17.30%,0.137,0.308,0.27,0.334,0.407,0.324,111,1,8.9,3.7,3.4
51,Byron Buxton,MIN,130,560,29,82,73,17,7.70%,27.20%,0.241,0.294,0.248,0.315,0.489,0.342,119,2.2,14.9,-1.5,3.3
52,Austin Riley,ATL,156,672,29,86,95,3,7.80%,26.10%,0.202,0.315,0.26,0.323,0.462,0.337,116,-0.9,12,-1.8,3.3
53,Dansby Swanson,CHC,159,686,22,77,79,16,8.40%,25.00%,0.158,0.295,0.241,0.307,0.398,0.307,98,1.3,-0.4,9.9,3.3
54,Jackson Chourio,MIL,147,637,26,89,78,23,6.30%,20.00%,0.201,0.302,0.269,0.319,0.47,0.338,118,2.4,15.6,-4.8,3.3
55,Riley Greene,DET,151,651,29,82,92,4,9.00%,27.00%,0.208,0.322,0.261,0.331,0.468,0.343,121,-0.8,15.2,-6.1,3.2
56,Freddie Freeman,LAD,151,651,24,87,90,7,10.50%,18.80%,0.19,0.316,0.279,0.362,0.469,0.357,130,-1.4,22,-12.4,3.2
57,Steven Kwan,CLE,154,665,13,87,57,19,9.50%,9.50%,0.121,0.292,0.278,0.35,0.399,0.33,113,1.5,11.6,-3.4,3.2
58,Chase Meidroth,CHW,139,602,10,75,49,15,11.60%,14.70%,0.109,0.295,0.261,0.356,0.37,0.325,108,-0.3,5.6,4.6,3.2
59,James Wood,WSN,149,644,29,92,76,18,12.10%,28.50%,0.215,0.332,0.259,0.352,0.475,0.355,129,0.6,22.5,-13,3.2
60,Will Smith,LAD,126,500,19,64,67,3,11.40%,19.50%,0.186,0.285,0.254,0.348,0.44,0.342,121,-1.8,10.4,10.6,3.2
61,Kyle Schwarber,PHI,159,686,43,106,98,7,14.90%,27.90%,0.269,0.259,0.23,0.353,0.499,0.364,133,-2.5,24.7,-17,3.1
62,Brice Turang,MIL,152,658,15,83,66,28,9.40%,20.70%,0.135,0.313,0.261,0.332,0.395,0.319,105,2.4,6.4,2.1,3.1
63,Luke Keaschall,MIN,133,574,12,75,58,24,9.90%,16.70%,0.134,0.307,0.267,0.351,0.401,0.332,112,0.8,9,1.6,3.1
64,Rafael Devers,SFG,159,686,32,90,92,2,12.30%,24.90%,0.216,0.293,0.249,0.347,0.464,0.346,125,-1.8,18.8,-11.3,3.1
65,Yandy Díaz,TBR,151,651,23,90,77,3,9.60%,15.10%,0.173,0.319,0.294,0.367,0.468,0.361,132,-2,22.9,-15.3,3.1
66,Roman Anthony,BOS,146,630,19,89,63,10,13.10%,25.10%,0.175,0.337,0.263,0.364,0.438,0.351,122,0.2,16.6,-8.5,3.1
67,CJ Abrams,WSN,146,630,20,83,68,30,6.40%,18.80%,0.175,0.286,0.255,0.315,0.429,0.322,106,2.9,7.4,1.5,3
68,Xavier Edwards,MIA,143,616,5,75,50,28,8.80%,13.90%,0.089,0.328,0.285,0.351,0.375,0.321,104,2.5,5.3,3.7,3
69,Cody Bellinger,,151,651,24,81,88,11,8.20%,15.00%,0.184,0.283,0.267,0.331,0.451,0.336,116,0.1,12.2,-4.7,3
70,Pete Alonso,BAL,157,679,37,93,107,3,9.50%,23.00%,0.239,0.28,0.254,0.337,0.493,0.354,130,-2.5,21.5,-15.5,3
71,Brendan Donovan,STL,133,574,12,72,56,6,8.90%,13.30%,0.132,0.307,0.28,0.353,0.412,0.336,118,-1,11,-1.2,3
