#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
379,Brooks Raley,NYM,3,3,0,59,0,59,8.74,3.38,1.09,0.289,73.90%,39.80%,3.85,4.07,0.3
380,Jack Perkins,ATH,2,2,0,34,0,34,9.49,3.59,1.03,0.294,73.90%,42.80%,3.77,3.86,0.3
381,Sam Moll,CIN,3,3,0,52,0,52,8.82,3.96,1.13,0.298,73.80%,44.50%,4.09,4.29,0.3
382,Eric Lauer,TOR,3,3,0,50,2,57,8.66,2.63,1.4,0.288,74.30%,34.30%,4.07,4.21,0.3
383,Brandon Eisert,CHW,3,3,0,60,0,60,8.49,3.41,1.17,0.292,74.10%,42.20%,3.97,4.2,0.3
384,José Urquidy,,6,8,0,21,21,118.2,6.6,2.71,1.63,0.288,69.80%,34.90%,5.01,5.03,0.3
385,Brandon Young,BAL,3,3,0,24,6,53.2,7.75,2.65,1.41,0.298,72.00%,41.20%,4.44,4.42,0.3
386,Scott Barlow,,3,3,0,62,0,62,9.34,4.48,1.03,0.295,73.10%,42.60%,4.11,4.19,0.3
387,Bowden Francis,TOR,2,2,0,30,2,37,8.78,2.49,1.42,0.288,73.10%,35.30%,4.17,4.22,0.3
388,Yoendrys Gómez,TBR,4,5,0,48,8,85,8.52,3.65,1.44,0.292,72.00%,38.20%,4.62,4.69,0.2
389,Noah Schultz,CHW,1,2,0,5,5,27.2,7.25,3.96,1.17,0.296,72.20%,46.10%,4.43,4.7,0.2
390,Josiah Gray,WSN,6,9,0,21,21,118,7.56,3.72,1.64,0.286,70.50%,34.40%,5.11,5.2,0.2
391,Brenan Hanifee,DET,3,3,0,58,0,58,6.76,2.51,0.91,0.305,71.90%,50.90%,3.89,3.9,0.2
392,Anthony Bender,MIA,3,3,5,62,0,62,8.65,3.55,0.98,0.301,72.80%,45.60%,3.94,3.94,0.2
393,Carlos Estévez,KCR,3,3,31,65,0,65,8.41,3.36,1.24,0.29,72.30%,32.70%,4.29,4.3,0.2
394,Keegan Akin,BAL,3,3,3,66,0,66,9.31,3.33,1.23,0.294,75.20%,38.20%,3.89,4.05,0.2
395,Calvin Faucher,MIA,3,3,18,64,0,64,8.93,3.72,0.99,0.301,72.80%,45.00%,3.99,3.96,0.2
396,Joey Wentz,ATL,3,3,0,39,5,60,8.63,3.62,1.23,0.299,72.40%,39.20%,4.34,4.3,0.2
397,Drey Jameson,ARI,3,3,1,58,0,58,8.93,3.37,0.96,0.305,72.80%,44.80%,3.87,3.77,0.2
398,Justin Hagenman,NYM,2,2,0,36,0,36,8.26,2.03,1.26,0.285,73.70%,38.40%,3.79,3.91,0.2
399,Braydon Fisher,TOR,3,3,0,52,0,52,9.79,3.88,1.18,0.29,73.80%,38.20%,4.05,4.08,0.2
400,Bailey Falter,KCR,4,4,0,53,5,74,7.07,2.79,1.34,0.295,71.20%,36.60%,4.53,4.51,0.2
401,Mitch Spence,ATH,2,2,0,40,0,40,7.63,2.37,1.16,0.302,72.10%,45.70%,4.05,4.02,0.2
402,Ryan Johnson,LAA,1,1,0,26,0,26,8.7,2.99,1.12,0.297,73.70%,44.10%,3.86,3.93,0.2
403,Hayden Wesneski,HOU,2,2,0,24,2,31,8.96,2.67,1.29,0.296,73.10%,40.50%,4.04,4.02,0.2
404,Yaramil Hiraldo,BAL,2,2,0,44,0,44,9.21,3.3,1.27,0.289,74.00%,37.40%,4.01,4.12,0.2
405,Gavin Stone,LAD,1,1,0,18,2,25,8.45,2.71,1.27,0.294,73.40%,42.80%,4.01,4.09,0.2
406,Ronel Blanco,HOU,1,1,0,18,2,25,9.64,3.34,1.25,0.291,74.00%,37.70%,3.97,4,0.2
407,Chase Silseth,LAA,3,3,0,57,0,57,8.85,3.69,1.12,0.297,73.30%,45.00%,4.04,4.14,0.2
408,Andrew Chafin,,2,2,0,44,0,44,9.58,4.25,1.01,0.295,74.80%,41.70%,3.82,3.99,0.2
409,Tyler Rogers,TOR,4,4,2,74,0,74,6.19,2.07,1.02,0.305,71.10%,51.20%,4.06,4.05,0.2
410,Kyle Hart,SDP,4,4,0,30,8,66.2,7.36,3.19,1.3,0.293,72.30%,41.50%,4.39,4.57,0.2
411,Phil Maton,CHC,3,3,4,65,0,65,9.31,3.52,1.05,0.291,73.50%,42.50%,3.81,3.96,0.2
412,Alex Lange,KCR,3,3,0,52,0,52,9.47,4.58,0.86,0.303,73.20%,46.80%,3.93,3.95,0.2
413,Jason Foley,SFG,2,2,0,34,0,34,7.93,2.58,0.84,0.307,72.60%,50.50%,3.64,3.56,0.2
414,Javier Assad,CHC,4,4,0,55,5,76.2,7.72,3.18,1.16,0.297,72.40%,43.80%,4.19,4.28,0.2
415,Jaden Hill,COL,3,3,2,58,0,58,8.5,3.52,1.14,0.317,70.30%,46.30%,4.58,4.25,0.2
416,Bryan Hudson,CHW,2,2,0,42,0,42,8.55,3.78,1.09,0.292,74.50%,43.70%,3.88,4.19,0.2
417,Ryan Gusto,MIA,2,2,0,30,2,36.2,7.89,2.8,1.26,0.291,72.10%,38.90%,4.21,4.26,0.2
418,Josh Sborz,,2,2,0,46,0,46,9.22,3.56,1.12,0.293,73.50%,40.70%,3.95,3.99,0.2
419,Matt Svanson,STL,3,3,6,65,0,65,8.14,3.43,0.92,0.299,73.10%,47.80%,3.83,3.96,0.2
420,Ryne Stanek,,3,3,0,56,0,56,9.51,4.09,1.2,0.286,74.10%,34.10%,4.09,4.22,0.2
421,Mason Barnett,ATH,3,3,0,31,5,53,7.5,3.63,1.3,0.293,71.30%,41.40%,4.58,4.69,0.2
422,Jake Bird,NYY,3,3,0,57,0,57,9.14,3.77,1.02,0.295,74.00%,46.00%,3.83,4.01,0.2
423,Tony Santillan,CIN,3,4,4,70,0,70,9.45,4,1.33,0.292,73.50%,37.50%,4.33,4.44,0.2
424,Colton Gordon,HOU,2,2,0,40,0,40,8.2,2.22,1.35,0.29,73.80%,38.30%,3.97,4.11,0.2
425,JR Ritchie,ATL,2,2,0,5,5,27.2,7.29,3.44,1.2,0.303,70.80%,45.70%,4.56,4.54,0.2
426,Nate Pearson,HOU,3,4,0,55,3,70.1,8.73,3.93,1.32,0.292,72.10%,38.20%,4.5,4.55,0.2
427,Caden Dana,LAA,4,7,0,16,16,90.1,7.59,3.96,1.56,0.292,70.80%,38.60%,5.06,5.15,0.2
428,Brock Burke,LAA,3,3,4,63,0,63,8.52,3.18,1.18,0.295,74.00%,42.60%,3.96,4.12,0.2
429,Dauri Moreta,,2,2,0,38,0,38,10.14,3.84,1.16,0.288,74.20%,35.80%,3.92,3.97,0.2
430,Mason Montgomery,PIT,3,3,2,60,0,60,9.13,3.68,1.07,0.292,73.90%,38.90%,3.89,4.01,0.2
431,Evan Sisk,PIT,3,3,0,52,0,52,8.21,3.9,0.84,0.304,73.50%,49.40%,3.81,3.95,0.2
432,Brandon Williamson,CIN,2,3,0,33,3,48,8.25,2.98,1.47,0.295,73.00%,37.90%,4.45,4.54,0.2
433,Adbert Alzolay,NYM,3,3,1,62,0,62,8.78,2.97,1.21,0.29,73.60%,40.20%,3.93,4.06,0.2
434,Dane Dunning,,1,2,0,5,5,27,6.97,3.26,1.25,0.3,70.70%,45.70%,4.6,4.64,0.2
435,Kevin Kelly,TBR,2,2,0,44,0,44,7.67,2.36,1.15,0.304,72.10%,47.70%,4.04,4.02,0.2
436,Jalen Beeks,,3,2,0,51,0,51,8.35,3.4,1.04,0.296,73.80%,43.40%,3.88,4.03,0.2
437,Mason Englert,TBR,3,3,1,60,0,60,8.13,2.8,1.3,0.297,72.50%,42.50%,4.23,4.25,0.2
438,Ryan Brasier,,3,3,0,54,0,54,8.24,2.75,1.15,0.297,72.70%,41.90%,4,3.98,0.2
439,Tim Herrin,CLE,3,3,0,54,0,54,9.47,4.28,0.93,0.297,74.40%,45.10%,3.77,3.96,0.2
440,Hoby Milner,CHC,3,3,1,66,0,66,7.58,2.88,1.01,0.3,73.80%,47.90%,3.8,3.99,0.2
441,DJ Herz,WSN,1,1,0,22,0,22,10.64,3.8,1.06,0.283,76.40%,36.60%,3.48,3.69,0.2
442,Michel Otañez,TEX,2,2,0,40,0,40,10.52,4.74,0.96,0.293,74.70%,42.30%,3.78,3.94,0.2
443,Braden Nett,ATH,2,3,0,23,5,45.2,7.46,4.19,1.17,0.298,71.50%,45.80%,4.57,4.69,0.2
444,Elmer Rodríguez,NYY,1,1,0,16,2,23.1,8.01,3.51,1,0.296,73.50%,50.00%,3.87,4.07,0.2
445,Trey Gibson,BAL,1,1,0,3,3,18.1,7.64,3.39,1.12,0.304,71.50%,48.90%,4.32,4.34,0.2
446,Wandy Peralta,SDP,3,3,0,60,0,60,8.16,3.74,0.88,0.299,74.60%,50.70%,3.67,3.98,0.2
447,Jack Dreyer,LAD,2,2,0,44,0,44,8.73,3.53,1.29,0.287,74.60%,38.50%,4.06,4.32,0.2
448,Juan Mejia,COL,3,3,3,66,0,66,8.83,4.14,1.19,0.311,71.10%,43.40%,4.63,4.46,0.2
449,PJ Poulin,WSN,3,3,2,61,0,61,8.33,3.78,1.03,0.293,74.00%,44.40%,3.89,4.16,0.2
450,George Klassen,LAA,1,2,0,20,2,27.1,8.69,3.7,1.16,0.296,73.10%,43.70%,4.13,4.23,0.2
451,Blade Tidwell,SFG,2,3,0,26,5,48.1,7.79,3.39,1.23,0.29,71.80%,40.80%,4.35,4.44,0.2
452,Félix Bautista,BAL,1,0,0,10,0,10,12.68,3.91,0.87,0.29,77.30%,40.30%,3.03,2.98,0.2
453,Justin Sterner,ATH,3,3,8,65,0,65,8.76,3.3,1.38,0.287,72.40%,34.60%,4.36,4.43,0.2
454,Thomas White,MIA,1,1,0,3,3,18.1,8.62,4.35,1.1,0.292,73.30%,42.80%,4.17,4.4,0.2
455,Daniel Lynch IV,KCR,3,3,0,59,0,59,7.08,2.77,1.11,0.3,71.90%,43.20%,4.15,4.21,0.2
456,Andrew Morris,MIN,1,1,0,28,0,28,7.75,2.33,1.08,0.3,72.30%,44.50%,3.91,3.87,0.2
457,Keaton Winn,SFG,1,1,0,28,0,28,8.41,2.54,0.93,0.301,73.00%,48.50%,3.62,3.6,0.2
458,Ryan Fernandez,STL,3,3,1,61,0,61,8.99,3.94,1.02,0.293,73.80%,42.10%,3.9,4.03,0.2
459,Brent Headrick,NYY,3,2,0,53,0,53,9.08,3.02,1.29,0.286,75.00%,37.70%,3.89,4.13,0.2
460,Hunter Gaddis,CLE,3,3,3,66,0,66,8.66,2.88,1.27,0.288,73.20%,36.00%,4.07,4.15,0.2
461,Greg Weissert,BOS,3,3,1,65,0,65,8.04,3.22,1.17,0.302,71.80%,42.00%,4.31,4.23,0.2
462,Josh White,MIA,2,2,0,40,0,40,9.14,3.77,1.06,0.292,73.60%,41.50%,3.92,4.02,0.2
