#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
529,Wilber Dotel,PIT,2,2,0,19,3,34,6.98,3.71,1.31,0.295,70.30%,,4.83,4.86,0.1
530,Bryan Hudson,CHW,2,2,0,42,0,42,8.55,3.78,1.09,0.292,74.50%,,3.88,4.19,0.1
531,Alex Lange,KCR,3,3,0,52,0,52,9.47,4.58,0.86,0.303,73.20%,,3.93,3.95,0.1
532,DJ Herz,WSN,1,1,0,22,0,22,10.64,3.8,1.06,0.283,76.40%,,3.48,3.69,0.1
533,Rob Zastryzny,MIL,2,2,0,50,0,50,8.29,3.37,1.19,0.289,73.90%,,4.01,4.25,0.1
534,Grant Anderson,MIL,3,3,0,56,0,56,8.82,3.55,1.21,0.291,73.30%,,4.12,4.24,0.1
535,Félix Bautista,BAL,1,0,0,10,0,10,12.68,3.91,0.87,0.29,77.30%,,3.03,2.98,0.1
536,Colton Gordon,HOU,2,2,0,40,0,40,8.2,2.22,1.35,0.29,73.80%,,3.97,4.11,0.1
537,Kevin Kelly,TBR,2,2,0,44,0,44,7.67,2.36,1.15,0.304,72.10%,,4.04,4.02,0
538,Evan Sisk,PIT,3,3,0,52,0,52,8.21,3.9,0.84,0.304,73.50%,,3.81,3.95,0
539,Michel Otañez,TEX,2,2,0,40,0,40,10.52,4.74,0.96,0.293,74.70%,,3.78,3.94,0
540,Jack Dreyer,LAD,2,2,0,44,0,44,8.73,3.53,1.29,0.287,74.60%,,4.06,4.32,0
541,Ryan Webb,CLE,0,1,0,2,2,9,6.87,3.82,1.21,0.298,71.10%,,4.64,4.79,0
542,Andrew Morris,MIN,1,1,0,28,0,28,7.75,2.33,1.08,0.3,72.30%,,3.91,3.87,0
543,Brody Hopkins,TBR,0,1,0,2,2,9,7.46,4.15,1.32,0.296,70.80%,,4.83,4.95,0
544,Keaton Winn,SFG,1,1,0,28,0,28,8.41,2.54,0.93,0.301,73.00%,,3.62,3.6,0
545,Nestor German,BAL,1,1,0,2,2,9,7.1,3.24,1.47,0.296,70.80%,,4.84,4.86,0
546,Carlos Carrasco,ATL,0,1,0,2,2,9,6.51,2.95,1.41,0.305,69.80%,,4.95,4.84,0
547,Scott Alexander,,2,2,0,35,0,35,6.75,3.32,0.94,0.305,72.60%,,4.04,4.22,0
548,Elvis Alvarado,ATH,3,3,3,58,0,58,8.94,4.45,1.18,0.292,73.00%,,4.33,4.48,0
549,Will Klein,LAD,3,2,0,50,0,50,9.7,4.85,1.08,0.292,74.30%,,4.05,4.29,0
550,Pete Hansen,STL,0,1,0,2,2,9,5.66,2.99,1.23,0.293,71.30%,,4.5,4.77,0
551,Sean Guenther,DET,1,1,0,22,0,22,7.22,2.94,0.93,0.299,73.10%,,3.8,3.97,0
552,Yariel Rodríguez,TOR,2,2,0,36,0,36,9.32,3.82,1.11,0.293,73.70%,,3.98,4.08,0
553,Josh White,MIA,2,2,0,40,0,40,9.14,3.77,1.06,0.292,73.60%,,3.92,4.02,0
554,Randy Dobnak,SEA,1,1,0,16,2,23,6.69,3.18,1.05,0.296,72.10%,,4.14,4.37,0
555,Chayce McDermott,BAL,1,1,0,16,2,23,8.72,4.54,1.32,0.292,72.50%,,4.6,4.75,0
556,Walbert Urena,LAA,1,1,0,16,2,23,6.64,4.58,1.05,0.304,71.30%,,4.67,4.86,0
557,JT Brubaker,SFG,3,3,0,53,0,53,7.99,2.98,1.12,0.298,72.70%,,4.07,4.1,0
558,Luinder Avila,KCR,2,2,0,42,0,42,8.15,3.6,0.93,0.303,72.40%,,3.99,4.01,0
559,Tayler Saucedo,,2,2,0,35,0,35,7.82,3.93,0.94,0.301,73.10%,,4,4.22,0
560,Kendry Rojas,MIN,2,2,0,42,0,42,8.31,3.33,1.08,0.297,73.40%,,3.97,4.08,0
561,John Klein,MIN,2,3,0,50,0,50,8.08,3.07,1.19,0.294,71.90%,,4.22,4.25,0
562,Manuel Rodríguez,TBR,1,1,0,16,0,16,8.32,3.08,0.98,0.305,73.00%,,3.84,3.88,0
563,David Morgan,SDP,3,3,0,64,0,64,8.76,3.78,1.12,0.292,73.40%,,4.04,4.21,0
