All First Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Levi Hyams 1B | ATL ,0,.000,0,0,0,9999
W ,Colby Lusignan 1B | MIA ,0,.000,0,0,0,9999
W ,Carmen Benedetti 1B | HOU ,0,.000,0,0,0,9999
W ,Cesar Idrogo 1B | CLE ,0,.000,0,0,0,9999
W ,Justin Seager 1B | SEA ,0,.000,0,0,0,9999
W ,Bobby Seymour 1B | TB ,0,.000,0,0,0,9999
W ,Correlle Prime 1B | COL ,0,.000,0,0,0,9999
W ,Ricky Oropesa 1B | SF ,0,.000,0,0,0,9999
W ,Preston Palmeiro 1B | LAA ,0,.000,0,0,0,9999
W ,Dylan Burdeaux 1B | DET ,0,.000,0,0,0,9999
W ,Taylor Ard 1B | MIA ,0,.000,0,0,0,9999
W ,Avain Rachal 1B | CIN ,0,.000,0,0,0,9999
W ,Joe Suozzi 1B | NYM ,0,.000,0,0,0,9999
W ,Cole Stobbe 1B | PHI ,0,.000,0,0,0,9999
W ,Quincy Nieporte 1B | DET ,0,.000,0,0,0,9999
W ,Brady Whalen 1B | SF ,0,.000,0,0,0,9999
W ,Jason Pineda 1B | SD ,0,.000,0,0,0,9999
W ,Logan Wyatt 1B | SF ,0,.000,0,0,0,9999
W ,Joey Rose 1B | ARI ,0,.000,0,0,0,9999
W ,Jackson Feltner 1B | ARI ,0,.000,0,0,0,9999
W ,Sal Stewart 1B | CIN,0,.000,0,0,0,9999
W ,Branden Berry 1B | MIA ,0,.000,0,0,0,9999
W ,Caden Connor 1B | CHW ,0,.000,0,0,0,9999
W ,Mason Martin 1B | PIT ,0,.000,0,0,0,9999
W ,Jacob Bosiokovic 1B | MIN ,0,.000,0,0,0,9999
W ,Peter Zimmerman 1B | HOU ,0,.000,0,0,0,9999
W ,Nick Patten 1B | PIT ,0,.000,0,0,0,9999
W ,K.J. Woods 1B | MIA ,0,.000,0,0,0,9999
W ,Rickardo Perez 1B | PHI ,0,.000,0,0,0,9999
W ,Manuel Pena 1B | ARI,0,.000,0,0,0,9999
W ,Danny Hayes 1B | CHW ,0,.000,0,0,0,9999
W ,Corey Collins 1B | NYM ,0,.000,0,0,0,9999
