All Catchers 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,J.T. Realmuto C | PHI,22,.342,75,84,21,39
W ,Jose Hernandez C | NYM ,0,.000,0,0,0,9999
W ,Allan de San Miguel C | KC ,0,.000,0,0,0,9999
W ,J.T. Watkins C | BOS ,0,.000,0,0,0,9999
W ,Kevin Krause C | PIT ,0,.000,0,0,0,9999
W ,Rusber Estrada C | ATL ,0,.000,0,0,0,9999
W ,Brady Lindsly C | WAS ,0,.000,0,0,0,9999
W ,Julio Rodriguez C | DET ,0,.000,0,0,0,9999
W ,Ryan Wrobleski C | HOU ,0,.000,0,0,0,9999
W ,Danuerys De La Cruz C | DET ,0,.000,0,0,0,9999
W ,Daniel Cope C | COL ,0,.000,0,0,0,9999
W ,A.J. Murray C | MIN ,0,.000,0,0,0,9999
W ,Jorge Saez C | NYY ,0,.000,0,0,0,9999
W ,Kevin Bazzell C | WAS ,0,.000,0,0,0,9999
W ,Gustavo Polanco C | CHC ,0,.000,0,0,0,9999
W ,James Free C | CIN ,0,.000,0,0,0,9999
W ,Weston Eberly C | CHW ,0,.000,0,0,0,9999
W ,Juan Gomes C | CLE ,0,.000,0,0,0,9999
W ,Jose Felix C | TEX ,0,.000,0,0,0,9999
W ,Zane Evans C | KC ,0,.000,0,0,0,9999
W ,Beycker Barroso C | TEX ,0,.000,0,0,0,9999
W ,Michael Cantu C | SD ,0,.000,0,0,0,9999
W ,Steve Scott C | DET ,0,.000,0,0,0,9999
W ,Nick Rickles C | PHI ,0,.000,0,0,0,9999
W ,Kellin Deglan C | TOR ,0,.000,0,0,0,9999
W ,Logan Porter C | SF ,0,.000,0,0,0,9999
W ,Michael Trautwein C | CIN ,0,.000,0,0,0,9999
W ,Kevin Parada C | NYM ,0,.000,0,0,0,9999
W ,Austin Green C | DET ,0,.000,0,0,0,9999
W ,Mitchell Kranson C | CIN ,0,.000,0,0,0,9999
W ,Victor Mesia C | TOR,0,.000,0,0,0,9999
W ,Kade Scivicque C | DET ,0,.000,0,0,0,9999
W ,Stephen McGee C | SD ,0,.000,0,0,0,9999
W ,Jesus Ordonez C | COL ,0,.000,0,0,0,9999
W ,Carlos Ramirez C | LAA ,0,.000,0,0,0,9999
W ,William Simoneit C | CHC ,0,.000,0,0,0,9999
W ,Tim Remes C | DET ,0,.000,0,0,0,9999
W ,Thayron Liranzo C | DET ,0,.000,0,0,0,9999
W ,Ronnie Freeman C | ATH ,0,.000,0,0,0,9999
W ,Caden Bodine C | BAL ,0,.000,0,0,0,9999
W ,Casey Opitz C | CHC ,0,.000,0,0,0,9999
W ,Nerio Rodriguez C | HOU ,0,.000,0,0,0,9999
W ,Robie Rojas C | MIL ,0,.000,0,0,0,9999
W ,Dillon Tatum C | MIN ,0,.000,0,0,0,9999
W ,Tyler Payne C | CHC,0,.000,0,0,0,9999
W ,Wilmer Dominguez C | TB ,0,.000,0,0,0,9999
W ,Morgan Lofstrom C | CIN ,0,.000,0,0,0,9999
W ,Hayden Dunhurst C | KC ,0,.000,0,0,0,9999
W ,Ethan Salas C | SD ,0,.000,0,0,0,9999
W ,Derrick Chung C | TOR ,0,.000,0,0,0,9999
W ,Braeden Schlehuber C | ATL ,0,.000,0,0,0,9999
W ,Alex Monsalve C | TOR ,0,.000,0,0,0,9999
W ,AJ Lewis C | COL ,0,.000,0,0,0,9999
W ,Hunter Feduccia C | TB,0,.000,0,0,0,9999
W ,Joe Jackson C | TEX ,0,.000,0,0,0,9999
W ,Vincent Perozo C | NYM ,0,.000,0,0,0,9999
W ,Daiverson Gutierrez C | NYM ,0,.000,0,0,0,9999
W ,Jeremy Lucas C | CLE ,0,.000,0,0,0,9999
W ,Jesus Lopez C | TEX ,0,.000,0,0,0,9999
W ,Ivan Luciano C | ARI ,0,.000,0,0,0,9999
W ,Dario Laverde C | LAA ,0,.000,0,0,0,9999
W ,John Garcia C | HOU ,0,.000,0,0,0,9999
W ,Mike Rothenberg C | DET ,0,.000,0,0,0,9999
W ,Juan Santander C | HOU ,0,.000,0,0,0,9999
W ,Taylor Hawkins C | TB ,0,.000,0,0,0,9999
W ,Christian Molfetta C | DET ,0,.000,0,0,0,9999
W ,Rodrigo Vigil C | MIA ,0,.000,0,0,0,9999
W ,J.D. Gonzalez C | TB ,0,.000,0,0,0,9999
W ,Will Bartlett C | CLE ,0,.000,0,0,0,9999
W ,Eric Rodriguez C | CLE ,0,.000,0,0,0,9999
W ,Steve Bean C | STL ,0,.000,0,0,0,9999
W ,Luca Tresh C | KC ,0,.000,0,0,0,9999
W ,Patrick Cantwell C | TOR ,0,.000,0,0,0,9999
