All Catchers 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Gashouse Gang,William Contreras C | MIL ,23,.365,99,92,9,27
W ,Canyon Brown C | KC ,0,.000,0,0,0,9999
W ,Arturo Nieto C | SD ,0,.000,0,0,0,9999
W ,Creed Willems C | BAL ,0,.000,0,0,0,9999
W ,Kevin Krause C | PIT ,0,.000,0,0,0,9999
W ,Garrett Forrester C | MIA ,0,.000,0,0,0,9999
W ,Scott Manea C | HOU ,0,.000,0,0,0,9999
W ,Derek Berg C | PIT ,0,.000,0,0,0,9999
W ,Caleb Hamilton C | LAA ,0,.000,0,0,0,9999
W ,Bryan Lavastida C | HOU ,0,.000,0,0,0,9999
W ,Francisco Mejia C | TB ,0,.000,0,0,0,9999
W ,Austin Bossart C | NYM ,0,.000,0,0,0,9999
W ,Bryant Betancourt C | COL ,0,.000,0,0,0,9999
W ,Cael Brockmeyer C | BAL ,0,.000,0,0,0,9999
W ,Jonathan Aceves C | CHW ,0,.000,0,0,0,9999
W ,Shane McGuire C | ATH ,0,.000,0,0,0,9999
W ,Daniel Torres C | SEA ,0,.000,0,0,0,9999
W ,Alex Dunlap C | WAS ,0,.000,0,0,0,9999
W ,Reynaldo Rodriguez C | MIN ,0,.000,0,0,0,9999
W ,Ryan Haug C | PIT ,0,.000,0,0,0,9999
W ,Tim Remes C | DET ,0,.000,0,0,0,9999
W ,Cam Maron C | MIA ,0,.000,0,0,0,9999
W ,Mitch Ghelfi C | NYM ,0,.000,0,0,0,9999
W ,Graysen Tarlow C | STL ,0,.000,0,0,0,9999
W ,Derrick Chung C | TOR ,0,.000,0,0,0,9999
W ,Austin Nola C | COL ,0,.000,0,0,0,9999
W ,Chad Wallach C | LAA,0,.000,0,0,0,9999
W ,Josh Rapacz C | TB ,0,.000,0,0,0,9999
W ,Franklin Navarro C | LAA ,0,.000,0,0,0,9999
W ,Michael Oliveto C | DET ,0,.000,0,0,0,9999
W ,Tyler Ogle C | LAD ,0,.000,0,0,0,9999
W ,Aaron McKeithan C | PIT ,0,.000,0,0,0,9999
W ,Tyler Cropley C | KC ,0,.000,0,0,0,9999
W ,Juan Fernandez C | SD ,0,.000,0,0,0,9999
W ,Mac James C | TB ,0,.000,0,0,0,9999
Magnum GI,Kyle Teel C | CHW,0,.000,0,0,0,9999
W ,Juan Centeno C | ARI ,0,.000,0,0,0,9999
W ,Hemmanuel Rosario C | NYY ,0,.000,0,0,0,9999
W ,Henri Lartigue C | CHW ,0,.000,0,0,0,9999
W ,Ariel Armas C | CHC ,0,.000,0,0,0,9999
W ,Kyle Schmidt C | MIN ,0,.000,0,0,0,9999
W ,Raywilly Gomez C | NYM ,0,.000,0,0,0,9999
W ,Ben Carhart C | CHC ,0,.000,0,0,0,9999
W ,Chuck Moorman C | ATH ,0,.000,0,0,0,9999
W ,Eric Rodriguez C | CLE ,0,.000,0,0,0,9999
W ,Chad Johnson C | KC ,0,.000,0,0,0,9999
W ,Freuddy Batista C | SEA ,0,.000,0,0,0,9999
W ,Payton Henry C | PHI ,0,.000,0,0,0,9999
W ,Dean Nevarez C | SEA ,0,.000,0,0,0,9999
W ,Jairo Rosario C | COL ,0,.000,0,0,0,9999
W ,Zane Evans C | KC ,0,.000,0,0,0,9999
W ,Andrick Nava C | PHI ,0,.000,0,0,0,9999
W ,Kade Scivicque C | DET ,0,.000,0,0,0,9999
W ,Will Bartlett C | CLE ,0,.000,0,0,0,9999
W ,Andres Angulo C | SF ,0,.000,0,0,0,9999
W ,Jimmy Crooks C | STL ,0,.000,0,0,0,9999
W ,Deon Stafford C | PIT ,0,.000,0,0,0,9999
W ,Cade Hunter C | CIN ,0,.000,0,0,0,9999
W ,Cooper Ingle C | CLE ,0,.000,0,0,0,9999
W ,Rodrigo Vigil C | MIA ,0,.000,0,0,0,9999
W ,Xavier Fernandez C | CHW ,0,.000,0,0,0,9999
W ,Juan Montero C | BOS ,0,.000,0,0,0,9999
W ,Samuel Miranda C | BOS ,0,.000,0,0,0,9999
W ,Gustavo Polanco C | CHC ,0,.000,0,0,0,9999
W ,Khadim Diaw C | MIN ,0,.000,0,0,0,9999
W ,Jake DePew C | BOS ,0,.000,0,0,0,9999
W ,Mac Guscette C | ATL ,0,.000,0,0,0,9999
W ,Rodolfo Duran C | SD ,0,.000,0,0,0,9999
W ,Roberto Perez C | BOS ,0,.000,0,0,0,9999
W ,Beycker Barroso C | TEX ,0,.000,0,0,0,9999
W ,Abraham Gutierrez C | PIT ,0,.000,0,0,0,9999
W ,Mayo Acosta C | TB ,0,.000,0,0,0,9999
W ,J.D. Gonzalez C | TB ,0,.000,0,0,0,9999
W ,Adam Hackenberg C | CHW ,0,.000,0,0,0,9999
W ,Jorge Alfaro C | WAS ,0,.000,0,0,0,9999
W ,Steve Scott C | DET ,0,.000,0,0,0,9999
W ,Daiverson Gutierrez C | NYM ,0,.000,0,0,0,9999
W ,Anthony Vilar C | SD ,0,.000,0,0,0,9999
W ,Gavin Logan C | ARI ,0,.000,0,0,0,9999
W ,William Simoneit C | CHC ,0,.000,0,0,0,9999
W ,Mike Rothenberg C | DET ,0,.000,0,0,0,9999
