All Utility Players 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Michael Massey 2B | KC,15,.274,42,55,6,302
W ,Starling Marte DH | NYM,5,.301,38,28,24,303
Simba's Dublin Green Sox,Jorge Polanco 2B | NYM ,14,.335,38,48,4,305
W ,Nick Senzel 3B | CHW,13,.297,49,42,6,306
Long Balls,Giancarlo Stanton OF | NYY,24,.275,43,60,0,308
W ,Mike Yastrzemski OF | KC ,15,.330,54,43,2,312
W ,David Peralta OF | SD,7,.294,47,55,4,313
W ,Will Brennan OF | CLE ,5,.299,41,41,13,315
W ,Gabriel Moreno C | ARI,7,.340,33,50,6,319
W ,Kyle Farmer 2B | COL ,11,.314,49,46,2,323
W ,Danny Jansen C | TEX ,17,.312,38,53,0,326
W ,Robbie Grossman OF | KC,10,.341,56,49,1,327
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",4,.343,37,26,26,329
W ,Matt Wallner OF | MIN,14,.370,42,41,2,330
W ,Jake Cronenworth 2B | SD,10,.311,54,48,6,333
W ,Joey Wiemer OF | SF ,13,.283,48,42,11,334
W ,Connor Wong C | BOS ,9,.287,55,36,8,335
W ,Cavan Biggio 2B | KC ,9,.340,54,40,5,336
W ,"Josh Rojas 2B,3B | CHW",4,.303,47,40,12,338
W ,Alek Thomas OF | ARI ,9,.273,51,39,9,341
W ,Drew Waters OF | KC,8,.300,40,32,16,345
W ,Akil Baddoo OF | MIL ,11,.310,40,34,14,346
W ,"Isiah Kiner-Falefa 3B,SS | TOR",6,.306,39,37,14,347
W ,Myles Straw OF | TOR,1,.301,52,29,20,348
W ,Andy Ibanez 3B | DET ,11,.311,42,41,1,349
W ,Mike Moustakas 3B | CHW ,12,.293,43,48,0,350
W ,Gary Sanchez C | BAL,19,.288,33,47,0,351
Simba's Dublin Green Sox,Ramon Laureano OF | SD ,9,.304,46,35,12,353
W ,Stone Garrett DH | WAS ,9,.343,40,40,3,354
Guillotine,Jurickson Profar OF | ATL,9,.321,55,46,1,356
W ,Jake McCarthy OF | ARI ,2,.318,37,16,26,358
W ,Aaron Hicks OF | LAA,8,.353,44,36,6,360
W ,Travis Jankowski OF | NYM ,1,.357,34,30,19,362
W ,Corey Julks OF | CHW,6,.297,35,33,15,363
W ,Blake Sabol C | BOS ,13,.301,36,44,4,365
W ,Alex Kirilloff OF | MIN,11,.348,35,41,1,369
W ,Tyrone Taylor OF | NYM ,10,.268,36,35,9,371
W ,Manuel Margot OF | DET ,4,.309,39,38,9,373
W ,Yoan Moncada 3B | LAA,11,.305,39,40,1,375
W ,Nelson Velazquez DH | KC,17,.302,35,34,0,377
W ,Seth Brown OF | ATH,14,.286,33,52,3,379
W ,Anthony Rizzo 1B | NYY,12,.328,45,41,0,381
W ,Christian Encarnacion-Strand 1B | CIN,13,.328,29,37,2,382
W ,"Ramon Urias 2B,3B | HOU ",4,.328,45,42,3,388
W ,Donovan Solano 1B | TEX,5,.369,43,38,0,391
W ,Daniel Vogelbach DH | TOR,13,.339,33,48,0,392
W ,Joey Gallo 1B | CHW ,21,.301,39,40,1,394
W ,C.J. Cron 1B | BOS ,12,.295,38,37,0,399
W ,Dairon Blanco OF | KC,3,.324,19,18,24,400
W ,Elehuris Montero 1B | COL ,11,.290,40,39,0,403
W ,Kyle Isbel OF | KC ,5,.282,45,34,7,407
W ,Bo Naylor C | CLE,11,.339,33,32,5,409
W ,Owen Miller 2B | COL,5,.302,29,27,13,413
W ,Tim Anderson SS | LAA,1,.286,52,25,13,416
W ,"Miguel Rojas 2B,3B,SS | LAD ",5,.290,49,31,8,417
W ,Mike Ford DH | MIN ,16,.323,32,34,0,418
W ,Jake Meyers OF | HOU ,10,.296,42,33,5,419
W ,Christian Bethancourt C | TOR ,11,.254,49,33,1,420
W ,Paul DeJong 3B | WAS,14,.258,41,38,4,424
W ,Jace Peterson SS | ARI,6,.304,35,37,15,427
W ,Josh Palacios OF | CHW,10,.279,26,40,5,429
