All First Basemen 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,30,.396,98,103,2,13
W ,Pedro Castellanos 1B | SD ,0,.000,0,0,0,9999
W ,Alex Guerrero 1B | NYY ,0,.000,0,0,0,9999
W ,Branden Berry 1B | MIA ,0,.000,0,0,0,9999
W ,Art Charles 1B | MIL ,0,.000,0,0,0,9999
W ,Brett Squires 1B | KC ,0,.000,0,0,0,9999
W ,Austin Davidson 1B | WAS ,0,.000,0,0,0,9999
W ,Brandon Lewis 1B | LAD ,0,.000,0,0,0,9999
W ,Manuel Pena 1B | ARI,0,.000,0,0,0,9999
W ,Dillan Shrum 1B | KC ,0,.000,0,0,0,9999
W ,Kale Fountain 1B | SD ,0,.000,0,0,0,9999
W ,Reynaldo Rivera 1B | DET ,0,.000,0,0,0,9999
W ,Kacy Clemens 1B | TOR ,0,.000,0,0,0,9999
W ,Sam Kulasingam 1B | KC ,0,.000,0,0,0,9999
W ,Ruben Ibarra 1B | CIN ,0,.000,0,0,0,9999
W ,Modeifi Marte 1B | ARI ,0,.000,0,0,0,9999
W ,Engelth Urena 1B | NYY ,0,.000,0,0,0,9999
W ,Tristin English 1B | ARI ,0,.000,0,0,0,9999
W ,Joe Naranjo 1B | WAS ,0,.000,0,0,0,9999
W ,Derlin Figueroa 1B | KC ,0,.000,0,0,0,9999
W ,Rafael Flores 1B | PIT,0,.000,0,0,0,9999
W ,Cole Mathis 1B | CHC ,0,.000,0,0,0,9999
W ,Kevin Cornelius 1B | CHC ,0,.000,0,0,0,9999
W ,Ibandel Isabel 1B | CIN ,0,.000,0,0,0,9999
W ,Ivan Melendez 1B | ARI ,0,.000,0,0,0,9999
W ,Josh Lester 1B | KC ,0,.000,0,0,0,9999
W ,Brandon Pimentel 1B | WAS ,0,.000,0,0,0,9999
W ,Kevin Ereu 1B | MIL ,0,.000,0,0,0,9999
W ,Jake Adams 1B | HOU ,0,.000,0,0,0,9999
W ,R.J. Yeager 1B | STL ,0,.000,0,0,0,9999
W ,Grant Lavigne 1B | COL ,0,.000,0,0,0,9999
W ,Collin Ferguson 1B | COL ,0,.000,0,0,0,9999
W ,Nathan Martorella 1B | MIA ,0,.000,0,0,0,9999
W ,Wladimir Galindo 1B | CHC ,0,.000,0,0,0,9999
W ,Andy Yerzy 1B | CIN ,0,.000,0,0,0,9999
W ,Rainer Nunez 1B | TOR ,0,.000,0,0,0,9999
W ,Tanner Thach 1B | COL ,0,.000,0,0,0,9999
W ,Jacson McGowan 1B | TB ,0,.000,0,0,0,9999
W ,"Tim Tawa 1B,2B,OF | ARI",0,.000,0,0,0,9999
W ,Carter Graham 1B | CIN ,0,.000,0,0,0,9999
W ,Jantzen Witte 1B | SD ,0,.000,0,0,0,9999
W ,Carson Taylor 1B | PHI ,0,.000,0,0,0,9999
W ,Jose Ruiz 1B | TEX ,0,.000,0,0,0,9999
W ,Damiano Palmegiani 1B | TOR ,0,.000,0,0,0,9999
W ,Haydn McGeary 1B | CHC,0,.000,0,0,0,9999
W ,Chris DeVito 1B | KC ,0,.000,0,0,0,9999
W ,Luke Voit 1B | NYM ,0,.000,0,0,0,9999
W ,Carter Kieboom 1B | LAA,0,.000,0,0,0,9999
W ,Luis Tejada 1B | LAA ,0,.000,0,0,0,9999
W ,Cole Stobbe 1B | PHI ,0,.000,0,0,0,9999
W ,Mike Boeve 1B | MIL ,0,.000,0,0,0,9999
W ,Cal Towey 1B | LAA ,0,.000,0,0,0,9999
W ,Kevin Padlo 1B | LAD ,0,.000,0,0,0,9999
W ,Nick Patten 1B | PIT ,0,.000,0,0,0,9999
W ,Erick Meza 1B | LAD ,0,.000,0,0,0,9999
W ,Justin Seager 1B | SEA ,0,.000,0,0,0,9999
W ,Jayce Boyd 1B | NYM ,0,.000,0,0,0,9999
W ,Jaquez Williams 1B | SD ,0,.000,0,0,0,9999
W ,Matt Gorski 1B | PIT ,0,.000,0,0,0,9999
W ,Matt Rose 1B | CHW ,0,.000,0,0,0,9999
W ,Balbino Fuenmayor 1B | ATL ,0,.000,0,0,0,9999
W ,Kole Calhoun 1B | CLE,0,.000,0,0,0,9999
W ,Brennan Milone 1B | ATH ,0,.000,0,0,0,9999
W ,Blaine Crim 1B | COL,0,.000,0,0,0,9999
W ,Bruce Yari 1B | CIN ,0,.000,0,0,0,9999
W ,Neyfy Castillo 1B | ARI ,0,.000,0,0,0,9999
W ,Eric Aguilera 1B | TEX ,0,.000,0,0,0,9999
W ,Jeremy Vasquez 1B | NYM ,0,.000,0,0,0,9999
W ,JT Schwartz 1B | NYM ,0,.000,0,0,0,9999
W ,Christian Marrero 1B | CHW ,0,.000,0,0,0,9999
W ,Jordan George 1B | KC ,0,.000,0,0,0,9999
W ,Bryce Ball 1B | PHI ,0,.000,0,0,0,9999
W ,Torin Montgomery 1B | MIA ,0,.000,0,0,0,9999
W ,Zachary Zubia 1B | MIA ,0,.000,0,0,0,9999
W ,Leandro Cedeno 1B | ARI ,0,.000,0,0,0,9999
W ,Blake Burke 1B | MIL ,0,.000,0,0,0,9999
W ,Will Frizzell 1B | WAS ,0,.000,0,0,0,9999
W ,Joey Votto 1B | TOR ,0,.000,0,0,0,9999
W ,Levi Hyams 1B | ATL ,0,.000,0,0,0,9999
W ,Jesus Chirinos 1B | MIL ,0,.000,0,0,0,9999
W ,John Rhodes 1B | BAL ,0,.000,0,0,0,9999
W ,Carlos Munoz 1B | PIT ,0,.000,0,0,0,9999
W ,Dariel Gomez 1B | NYM ,0,.000,0,0,0,9999
W ,Will Simpson 1B | TB ,0,.000,0,0,0,9999
W ,Jacob Teter 1B | BAL ,0,.000,0,0,0,9999
W ,Brandon Dixon 1B | SD,0,.000,0,0,0,9999
W ,Yohandy Morales 1B | WAS ,0,.000,0,0,0,9999
W ,Branden Boissiere 1B | WAS ,0,.000,0,0,0,9999
W ,Jacob Bosiokovic 1B | MIN ,0,.000,0,0,0,9999
W ,Scott Schreiber 1B | HOU ,0,.000,0,0,0,9999
W ,Trey Mancini 1B | ARI ,0,.000,0,0,0,9999
W ,Yohairo Cuevas 1B | NYM ,0,.000,0,0,0,9999
W ,Bryson Horne 1B | ATL ,0,.000,0,0,0,9999
W ,Jacob Schrader 1B | ATL ,0,.000,0,0,0,9999
W ,Steven Sensley 1B | NYY ,0,.000,0,0,0,9999
W ,Carter Cunningham 1B | TOR ,0,.000,0,0,0,9999
W ,D.J. Hicks 1B | MIN ,0,.000,0,0,0,9999
W ,Edwin Espinal 1B | DET ,0,.000,0,0,0,9999
W ,Charlie Condon 1B | COL ,0,.000,0,0,0,9999
W ,Sal Stewart 1B | CIN,0,.000,0,0,0,9999
W ,Luis Merejo 1B | CLE ,0,.000,0,0,0,9999
W ,Ernesto Wilson Martinez 1B | MIL ,0,.000,0,0,0,9999
W ,Logan Wyatt 1B | SF ,0,.000,0,0,0,9999
W ,P.J. Higgins 1B | CIN ,0,.000,0,0,0,9999
W ,Bobby Seymour 1B | TB ,0,.000,0,0,0,9999
