All Outfielders 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Rafael Ortega OF | NYM ,1,.341,16,8,6,771
W ,Tim Locastro OF | SD ,2,.339,13,3,6,773
W ,Trayce Thompson OF | BOS ,6,.285,17,17,2,781
W ,Sean Bouchard OF | COL ,4,.372,11,7,0,782
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",4,.277,15,13,0,784
W ,Nick Loftin OF | KC,0,.368,10,10,2,793
W ,Franchy Cordero OF | WAS,6,.211,9,13,0,794
W ,Cristian Pache OF | ARI ,2,.319,12,11,2,796
W ,Samad Taylor OF | SEA,0,.279,11,4,8,804
W ,Jake Marisnick OF | ATL ,2,.281,10,10,2,819
W ,Forrest Wall OF | SD ,1,.533,6,2,5,823
Trex,Jasson Dominguez OF | NYY,4,.303,6,7,1,835
W ,Garrett Mitchell OF | MIL ,3,.315,10,7,1,836
Simba's Dublin Green Sox,"Ceddanne Rafaela 2B,OF | BOS ",2,.281,11,5,3,838
W ,Dane Myers OF | MIA ,1,.286,9,9,1,857
W ,Brett Phillips OF | CHW ,3,.268,9,6,3,875
Long Balls,Lawrence Butler OF | ATH ,4,.240,10,10,0,888
W ,Conner Capel OF | ATL ,0,.372,6,3,5,899
Trex,Oneil Cruz OF | PIT,1,.375,7,4,3,900
W ,Jordan Luplow OF | PHI ,2,.322,11,5,2,904
W ,Avisail Garcia OF | MIA,3,.241,8,12,2,905
W ,Oscar Gonzalez OF | SD ,2,.239,15,12,0,911
W ,Tyler Wade OF | SD ,0,.309,8,2,4,915
W ,Jonny DeLuca OF | TB ,2,.311,5,6,1,918
Like a Nightmare,Jo Adell OF | LAA,3,.258,7,6,1,921
W ,Weston Wilson OF | PHI,1,.500,5,2,3,928
W ,Yonathan Daza OF | COL ,0,.304,8,7,1,929
W ,Taylor Trammell OF | HOU ,3,.286,7,11,0,943
W ,Estevan Florial OF | CLE ,0,.324,5,8,3,944
W ,Bubba Thompson OF | CIN ,0,.237,10,4,4,953
W ,Clint Frazier OF | CHW,0,.303,10,3,4,956
W ,Greg Allen OF | BAL,1,.333,6,1,3,967
W ,Terrin Vavra OF | BAL ,0,.315,9,5,1,971
W ,Oscar Mercado OF | PHI ,0,.312,3,5,2,993
W ,Nick Gordon OF | BAL ,2,.185,13,7,0,1000
W ,Bryce Johnson OF | SD,1,.229,7,3,3,1004
W ,Trey Cabbage OF | PIT,1,.232,5,7,1,1017
W ,J.P. Martinez OF | ATL ,1,.250,7,4,0,1032
W ,Andrew Stevenson OF | MIN,0,.250,4,1,4,1053
W ,Alexander Canario OF | PIT ,1,.294,1,6,0,1056
W ,Heston Kjerstad OF | BAL ,2,.281,3,3,0,1064
W ,Everson Pereira OF | CHW ,0,.233,6,10,4,1074
W ,Colton Cowser OF | BAL,0,.286,15,4,1,1092
W ,Adam Haseley OF | CHW,0,.282,6,2,1,1096
W ,Kyle Garlick OF | ARI ,2,.233,2,4,0,1103
W ,Wade Meckler OF | SF,0,.328,6,4,0,1106
W ,Peyton Burdick OF | CIN,1,.270,4,2,1,1111
W ,Jahmai Jones OF | DET,0,.273,2,3,1,1120
W ,Billy Hamilton OF | CHW,0,.000,2,0,2,1127
W ,T.J Hopkins OF | DET ,0,.227,7,1,1,1142
Long Balls,"Tyler Soderstrom 1B,OF | ATH",3,.232,9,7,0,1151
W ,Canaan Smith-Njigba OF | PIT ,0,.216,3,5,1,1172
Gashouse Gang,Pete Crow-Armstrong OF | CHC,0,.176,3,1,2,1177
W ,Nathan Lukes OF | TOR,0,.290,4,2,0,1178
W ,David Dahl OF | PHI ,1,.111,1,1,0,1191
W ,Ben Gamel OF | ATL ,0,.200,2,2,0,1192
MAGA DOGE ,Heliot Ramos OF | SF,1,.233,5,2,0,1195
W ,Kyren Paris OF | LAA,0,.200,4,1,3,1196
W ,David Hensley OF | DET ,1,.213,12,3,1,1198
W ,Mike Siani OF | LAD ,0,.167,1,0,1,1211
W ,Blake Rutherford OF | WAS,0,.194,4,2,0,1217
W ,Austin Meadows OF | DET,0,.238,0,2,0,1223
W ,Dalton Guthrie OF | BOS ,0,.286,4,0,0,1235
W ,Cameron Eden OF | NYY ,0,.167,1,0,0,1241
W ,Derek Hill OF | CHW ,0,.220,3,1,1,1250
W ,Cal Mitchell OF | CHW ,0,.200,0,0,0,1279
W ,Jackie Bradley Jr. OF | KC,1,.188,10,6,0,1283
W ,Cooper Hummel OF | HOU ,0,.192,2,0,1,1286
W ,Ryan Kreidler OF | MIN,0,.111,2,0,0,1292
W ,Taylor Kohlwey OF | NYM ,0,.154,0,0,0,1295
W ,Cal Stevenson OF | PHI ,0,.250,1,0,0,1300
W ,Eli White OF | ATL ,0,.235,1,0,0,1309
W ,Tyler Naquin OF | CHW,0,.000,0,0,0,1312
W ,Abraham Almonte OF | NYM,0,.125,1,0,0,1317
W ,Jordyn Adams OF | BAL ,0,.125,1,1,1,1321
W ,Nathan Eaton OF | BOS,0,.125,2,1,3,1331
Magnum GI,Kyle Stowers OF | MIA,0,.151,1,0,0,1347
W ,Esmith Pineda OF | CIN ,0,.000,0,0,0,9999
W ,Andy Sugilio OF | CIN ,0,.000,0,0,0,9999
W ,Terry McClure OF | COL ,0,.000,0,0,0,9999
W ,Kyle Battle OF | NYY ,0,.000,0,0,0,9999
W ,Joseph Sullivan OF | HOU ,0,.000,0,0,0,9999
W ,Skeiling Rodriguez OF | CLE ,0,.000,0,0,0,9999
W ,Vince Fernandez OF | ATH ,0,.000,0,0,0,9999
W ,Randolph Oduber OF | WAS ,0,.000,0,0,0,9999
W ,Patrick Clohisy OF | ATL ,0,.000,0,0,0,9999
W ,Slade Caldwell OF | ARI ,0,.000,0,0,0,9999
W ,Frank Perez OF | HOU ,0,.000,0,0,0,9999
W ,Kadon Morton OF | ATL ,0,.000,0,0,0,9999
W ,Jose Anderson OF | MIL ,0,.000,0,0,0,9999
W ,Matt Jones OF | LAD ,0,.000,0,0,0,9999
W ,Thomas Jones OF | MIA ,0,.000,0,0,0,9999
W ,Miguel Briceno OF | MIN ,0,.000,0,0,0,9999
