All First Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Charlie Condon 1B | COL ,0,.000,0,0,0,9999
W ,Jonathan Rodriguez 1B | MIA ,0,.000,0,0,0,9999
W ,Sal Stewart 1B | CIN,0,.000,0,0,0,9999
W ,Luis Merejo 1B | CLE ,0,.000,0,0,0,9999
W ,Robert Hipwell 1B | SF ,0,.000,0,0,0,9999
W ,Damek Tomscha 1B | CHW ,0,.000,0,0,0,9999
W ,Nathaniel Hickey 1B | BOS ,0,.000,0,0,0,9999
W ,Ernesto Wilson Martinez 1B | MIL ,0,.000,0,0,0,9999
W ,Anthony Miller 1B | ATH ,0,.000,0,0,0,9999
W ,Taylor Ard 1B | MIA ,0,.000,0,0,0,9999
W ,Logan Wyatt 1B | SF ,0,.000,0,0,0,9999
W ,P.J. Higgins 1B | CIN ,0,.000,0,0,0,9999
W ,Bobby Seymour 1B | TB ,0,.000,0,0,0,9999
W ,Nicholas Vizcaino 1B | ATL ,0,.000,0,0,0,9999
W ,DJ Gladney 1B | CHW ,0,.000,0,0,0,9999
W ,Ryan Nicholson 1B | LAA ,0,.000,0,0,0,9999
W ,Austin Byler 1B | ARI ,0,.000,0,0,0,9999
W ,Chase McDonald 1B | HOU ,0,.000,0,0,0,9999
W ,PK Morris 1B | TOR ,0,.000,0,0,0,9999
W ,Caden Connor 1B | CHW ,0,.000,0,0,0,9999
W ,Dennis Raben 1B | SEA ,0,.000,0,0,0,9999
W ,Ryan Ripken 1B | BAL ,0,.000,0,0,0,9999
Runtime Terror,"Ben Rice C,1B | NYY ",0,.000,0,0,0,9999
W ,Keon Barnum 1B | CHW ,0,.000,0,0,0,9999
W ,Spencer Henson 1B | NYY ,0,.000,0,0,0,9999
W ,Sonny DiChiara 1B | LAA ,0,.000,0,0,0,9999
W ,D.J. Stewart 1B | PHI ,0,.000,0,0,0,9999
W ,Josh Moylan 1B | NYY ,0,.000,0,0,0,9999
W ,TJ Rumfield 1B | NYY ,0,.000,0,0,0,9999
W ,Cesar Gonzalez 1B | ATH ,0,.000,0,0,0,9999
W ,Austin Shenton 1B | SEA ,0,.000,0,0,0,9999
W ,Luke Gold 1B | DET ,0,.000,0,0,0,9999
W ,Jordy Lara 1B | ATL ,0,.000,0,0,0,9999
W ,Griffin Benson 1B | ATL ,0,.000,0,0,0,9999
W ,Eric Bitonti 1B | MIL ,0,.000,0,0,0,9999
W ,Diego Benitez 1B | ATL ,0,.000,0,0,0,9999
W ,Corey Collins 1B | NYM ,0,.000,0,0,0,9999
W ,Preston Palmeiro 1B | LAA ,0,.000,0,0,0,9999
W ,Warming Bernabel 1B | COL ,0,.000,0,0,0,9999
W ,Deyvison De Los Santos 1B | MIA ,0,.000,0,0,0,9999
W ,Avain Rachal 1B | CIN ,0,.000,0,0,0,9999
W ,Carmen Benedetti 1B | HOU ,0,.000,0,0,0,9999
W ,Correlle Prime 1B | COL ,0,.000,0,0,0,9999
W ,Ramon Mendoza 1B | STL ,0,.000,0,0,0,9999
W ,Chris Pieters 1B | CHC ,0,.000,0,0,0,9999
W ,Joe Vetrano 1B | LAD ,0,.000,0,0,0,9999
W ,Jonathon Long 1B | CHC ,0,.000,0,0,0,9999
