All Utility Players 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Max Stassi C | SF ,9,.267,32,30,0,648
W ,Andrew Knizner C | SEA ,4,.301,28,25,0,650
W ,Edwin Rios 1B | CIN ,7,.293,12,17,0,651
W ,Michael Massey 2B | KC,4,.307,16,17,3,652
W ,Jose Azocar OF | ATL,0,.298,24,10,5,656
W ,Nick Allen SS | HOU ,4,.256,31,19,3,660
W ,Jake Cave OF | COL,5,.260,17,20,2,662
W ,Stone Garrett DH | WAS ,4,.309,13,10,3,664
W ,Tyler Wade OF | SD ,1,.272,22,8,8,666
Rieken Havoc,Shea Langeliers C | ATH,6,.261,14,22,0,667
W ,Nick Maton DH | CHW ,5,.341,13,17,0,668
W ,Drew Waters OF | KC,5,.324,14,18,0,669
Young Guns,Gunnar Henderson SS | BAL,4,.348,12,18,1,671
Magnum GI,Corbin Carroll OF | ARI,4,.330,13,14,2,672
W ,David Fletcher 2B | ATL ,2,.288,20,17,1,676
W ,Austin Wynns C | ATH ,3,.312,14,21,0,677
Gashouse Gang,Kerry Carpenter OF | DET,6,.310,16,10,0,681
W ,Alex Kirilloff OF | MIN,3,.290,14,21,0,684
W ,Charlie Culberson 3B | ATL,2,.283,19,12,2,686
W ,Jason Vosler 1B | SEA ,4,.342,14,12,1,689
W ,David Bote 3B | LAD ,4,.315,15,12,1,690
W ,Nomar Mazara OF | WAS,2,.316,16,18,0,691
Like a Nightmare,Joshua Lowe OF | TB,2,.284,24,13,3,695
W ,Ryan McKenna OF | SF ,2,.294,23,11,2,696
W ,Oscar Mercado OF | PHI ,4,.242,17,16,2,697
W ,Jarred Kelenic OF | ATL,7,.221,20,17,5,698
W ,Nick Pratto 1B | KC,7,.271,18,20,0,701
W ,Sam Hilliard OF | COL ,2,.280,26,14,5,706
W ,Curt Casali C | ATL ,5,.318,20,17,0,708
W ,Tim Locastro OF | SD ,2,.239,13,4,8,710
W ,Austin Hedges C | CLE,7,.241,26,30,2,713
W ,"Miguel Andujar 3B,OF | CIN",1,.257,13,17,4,714
W ,Greg Allen OF | BAL,2,.260,17,8,8,716
W ,Skye Bolt OF | ATL,4,.259,10,13,5,724
W ,James McCann C | ARI ,3,.257,19,18,3,727
W ,Alejo Lopez 2B | ATH ,1,.314,15,10,3,730
W ,Livan Soto 2B | BAL ,1,.414,9,9,1,732
W ,Brian Serven C | DET,6,.261,19,16,0,733
W ,Paul DeJong 3B | WAS,6,.245,19,25,3,735
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",2,.307,23,16,4,742
W ,Luke Maile C | KC,3,.301,19,17,0,745
W ,Omar Narvaez C | HOU ,4,.291,21,23,0,749
Magnum GI,Josh Jung 3B | TEX,5,.235,9,14,2,750
W ,Brett Phillips OF | CHW ,5,.217,22,15,7,752
W ,Cooper Hummel OF | HOU ,3,.274,20,17,4,753
W ,Conner Capel OF | ATL ,3,.356,7,11,1,756
W ,Sean Bouchard OF | COL ,3,.454,9,11,0,757
W ,Triston Casas 1B | BOS ,5,.358,11,12,1,759
W ,Billy Hamilton OF | CHW,0,.136,13,0,10,760
W ,Stuart Fairchild OF | TB ,5,.336,14,6,0,761
W ,Yu Chang SS | TB ,4,.289,19,15,0,764
W ,J.J. Bleday OF | ATH ,5,.277,21,16,4,765
W ,Taylor Trammell OF | HOU ,4,.284,15,10,2,767
W ,Stephen Piscotty OF | ATH ,5,.252,12,14,2,768
W ,Matt Duffy 3B | TEX,2,.308,14,16,0,771
W ,Vimael Machin 3B | BAL,1,.300,26,13,1,772
Magnum GI,Kyle Stowers OF | MIA,3,.306,11,11,0,778
W ,Nick Madrigal 3B | NYM ,0,.305,19,7,3,779
W ,Terrin Vavra OF | BAL ,1,.340,14,12,0,783
W ,Tucupita Marcano SS | SD,2,.256,18,13,2,786
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",1,.290,14,16,0,787
Gashouse Gang,"Romy Gonzalez 1B,2B | BOS",2,.257,15,11,0,788
W ,Sam Huff C | SF ,4,.303,9,10,1,790
W ,Will Brennan OF | CLE ,1,.400,6,8,2,791
W ,Yasmani Grandal C | PIT,5,.300,15,27,1,792
W ,Luis Torrens C | NYM,3,.283,13,15,0,793
W ,Josh VanMeter 2B | NYY ,3,.266,15,14,4,794
W ,Jake Meyers OF | HOU ,1,.269,13,15,2,795
W ,Vidal Brujan 3B | ATL ,3,.228,13,16,5,796
W ,Nick Solak 1B | PIT,3,.308,14,4,3,797
W ,Nolan Jones OF | CLE ,2,.308,10,13,0,803
W ,Gabriel Moreno C | ARI,1,.356,10,7,0,806
W ,Jonathan Davis OF | MIA ,0,.344,9,4,7,807
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",5,.197,13,17,1,809
W ,Johan Camargo SS | SF,3,.297,8,15,0,821
W ,Jerar Encarnacion OF | SF,3,.210,7,14,2,822
W ,Peyton Burdick OF | CIN,4,.284,8,11,1,824
W ,Andy Ibanez 3B | DET ,1,.273,13,9,3,826
W ,Tyler Nevin 1B | ATH,2,.299,17,16,0,832
W ,Jake Marisnick OF | ATL ,2,.272,9,6,2,835
W ,Michael Toglia 1B | COL ,2,.275,10,12,1,836
W ,Ji-Hwan Bae OF | NYM ,0,.405,5,6,3,838
W ,Michael Perez C | BAL ,6,.214,10,14,1,839
W ,Oswald Peraza 3B | LAA,1,.404,8,2,2,842
