All Catchers 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
W ,Nick Montgomery C | ATL ,0,.000,0,0,0,9999
W ,Roldani Baldwin C | BOS ,0,.000,0,0,0,9999
W ,Dustin Houle C | NYM ,0,.000,0,0,0,9999
W ,Christopher Suero C | NYM ,0,.000,0,0,0,9999
W ,Kyle McCann C | ATH ,0,.000,0,0,0,9999
W ,Edgleen Perez C | PIT ,0,.000,0,0,0,9999
W ,Thomas Dillard C | MIL ,0,.000,0,0,0,9999
W ,Ethan Salas C | SD ,0,.000,0,0,0,9999
W ,Juan Santander C | HOU ,0,.000,0,0,0,9999
W ,Alberto Mineo C | CHC ,0,.000,0,0,0,9999
W ,Gavin Logan C | ARI ,0,.000,0,0,0,9999
W ,Sharif Othman C | MIA ,0,.000,0,0,0,9999
W ,Juan Garcia C | CIN ,0,.000,0,0,0,9999
W ,Casey Schroeder C | CHW ,0,.000,0,0,0,9999
W ,Chris Williams C | NYM ,0,.000,0,0,0,9999
W ,Luis Meza C | TOR ,0,.000,0,0,0,9999
W ,Eric Rodriguez C | CLE ,0,.000,0,0,0,9999
W ,Ramon Ramirez C | KC ,0,.000,0,0,0,9999
W ,Jacob Cozart C | CLE ,0,.000,0,0,0,9999
W ,Wilson Garcia C | WAS ,0,.000,0,0,0,9999
W ,James Free C | CIN ,0,.000,0,0,0,9999
W ,Canyon Brown C | KC ,0,.000,0,0,0,9999
W ,Onil Perez C | SF ,0,.000,0,0,0,9999
W ,Javier Valdes C | ATL ,0,.000,0,0,0,9999
W ,James Kennedy C | LAD ,0,.000,0,0,0,9999
W ,Maverick Handley C | BAL ,0,.000,0,0,0,9999
W ,Jack Conley C | PHI ,0,.000,0,0,0,9999
W ,Samuel Miranda C | BOS ,0,.000,0,0,0,9999
W ,Gabriel Bracamonte C | HOU ,0,.000,0,0,0,9999
W ,Miguel Palma C | HOU,0,.000,0,0,0,9999
W ,Leonardo Bernal C | STL ,0,.000,0,0,0,9999
Guillotine,Adley Rutschman C | BAL,0,.000,0,0,0,9999
W ,Bo Naylor C | CLE,0,.000,0,0,0,9999
W ,Trent Woodward C | HOU ,0,.000,0,0,0,9999
W ,Jacob Sharp C | TOR ,0,.000,0,0,0,9999
W ,Oscar Gonzalez C | PHI ,0,.000,0,0,0,9999
W ,Caleb Farmer C | WAS ,0,.000,0,0,0,9999
W ,Carter Bins C | PIT ,0,.000,0,0,0,9999
W ,Henri Lartigue C | CHW ,0,.000,0,0,0,9999
W ,Max Pentecost C | TOR ,0,.000,0,0,0,9999
W ,Kody Huff C | CLE ,0,.000,0,0,0,9999
W ,Cooper Johnson C | TEX ,0,.000,0,0,0,9999
W ,Raywilly Gomez C | NYM ,0,.000,0,0,0,9999
W ,Connor Pavolony C | BAL ,0,.000,0,0,0,9999
W ,Iker Franco C | ATL ,0,.000,0,0,0,9999
W ,Connor Sabanosh C | SF ,0,.000,0,0,0,9999
