All Utility Players 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Nicky Lopez 3B | ARI ,1,.312,40,21,5,582
W ,Nolan Jones OF | CLE ,3,.321,28,28,5,588
W ,Brett Wisely 2B | ATL,4,.278,25,31,2,590
W ,Pedro Pages C | STL ,7,.281,19,27,2,592
Magnum GI,Austin Hays OF | CIN ,5,.303,26,20,2,594
W ,Alex Call OF | LAD,3,.425,15,14,5,597
W ,Emmanuel Rivera 3B | BAL ,5,.312,24,29,2,598
W ,Danny Jansen C | TEX ,9,.309,35,24,0,601
W ,Kevin Kiermaier OF | LAD,5,.237,31,26,6,602
W ,Joey Meneses 1B | NYM ,3,.291,19,42,2,605
Long Balls,"Tyler Soderstrom 1B,OF | ATH",9,.315,18,26,0,609
Simba's Dublin Green Sox,Trent Grisham OF | NYY ,9,.290,21,31,1,611
W ,Eloy Jimenez DH | TB ,6,.289,25,23,3,614
W ,Taylor Walls SS | TB ,1,.282,27,14,16,620
Guillotine,"Noelvi Marte 3B,OF | CIN",4,.248,24,18,9,624
W ,Kyle Farmer 2B | COL ,5,.293,26,25,3,625
W ,Enmanuel Valdez 1B | PIT ,6,.270,23,28,1,629
W ,Chris Taylor OF | LAA,4,.298,28,23,5,630
W ,Dane Myers OF | MIA ,3,.333,17,19,4,631
Trex,Jackson Holliday 2B | BAL,5,.255,28,23,4,632
W ,Willie Calhoun DH | LAA ,5,.315,26,20,0,636
W ,Ben Rortvedt C | CIN ,3,.317,27,31,1,637
W ,Adam Duvall OF | ATL,11,.245,29,30,0,640
W ,Nick Martini DH | COL ,5,.272,23,24,1,643
W ,"Adam Frazier 2B,OF | KC",4,.282,35,22,3,644
W ,Jose Tena 3B | WAS,3,.298,14,15,6,645
W ,Joey Gallo 1B | CHW ,10,.277,24,27,3,646
W ,Joey Loperfido OF | TOR,4,.264,24,25,4,648
W ,Nick Fortes C | TB,4,.259,28,29,0,652
W ,Blaze Alexander 3B | ARI,3,.321,19,21,3,653
Long Balls,"Addison Barger 3B,OF | TOR",7,.250,20,28,2,654
W ,Edward Olivares OF | PIT ,5,.291,22,23,1,656
W ,Vidal Brujan 3B | ATL ,2,.303,32,16,5,658
W ,Patrick Wisdom 1B | CHC,8,.237,16,23,5,659
W ,Adrian Del Castillo DH | ARI,4,.368,12,19,1,661
Trex,Junior Caminero 3B | TB,6,.299,15,18,2,663
W ,"Ezequiel Duran 1B,SS | TEX",3,.288,26,20,1,666
W ,Christian Bethancourt C | TOR ,5,.241,18,22,3,667
Like a Nightmare,Dylan Crews OF | WAS,3,.288,12,8,12,669
Young Guns,Jonathan Aranda 1B | TB,6,.308,22,14,0,676
W ,Tyler Wade OF | SD ,0,.285,28,8,8,678
W ,Daz Cameron OF | MIL ,5,.258,22,15,5,679
W ,Sean Murphy C | ATL ,10,.284,19,25,0,682
W ,Cavan Biggio 2B | KC ,5,.314,27,19,2,683
W ,"Daniel Schneemann 2B,3B,OF | CLE",5,.303,17,22,3,684
W ,Jerar Encarnacion OF | SF,5,.277,13,19,1,690
W ,Justyn-Henry Malloy OF | DET,8,.291,18,21,1,695
Big Sticks,Dominic Canzone OF | SEA,8,.271,20,17,1,696
W ,Elehuris Montero 1B | COL ,4,.267,23,28,0,702
W ,Travis Jankowski OF | NYM ,1,.266,19,12,11,705
W ,Tyler Nevin 1B | ATH,7,.288,22,20,1,708
W ,Trey Lipscomb 3B | WAS ,1,.268,20,10,11,716
Runtime Terror,"Ben Rice C,1B | NYY ",7,.264,20,23,0,717
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",5,.258,17,18,0,718
W ,"Casey Schmitt 2B,3B | SF ",6,.283,11,16,0,719
W ,Weston Wilson OF | PHI,3,.347,13,10,3,720
W ,Luis Matos OF | SF,5,.237,14,25,0,723
W ,Austin Slater OF | NYY,2,.321,24,18,3,725
W ,Nick Senzel 3B | CHW,7,.283,25,18,1,727
W ,Evan Carter OF | TEX ,5,.272,23,15,2,728
W ,"Gabriel Arias 2B,SS | CLE",3,.255,15,15,5,729
W ,"Brooks Lee 2B,3B,SS | MIN",3,.265,9,27,3,733
W ,Alex Kirilloff OF | MIN,5,.270,20,20,0,740
W ,Leonardo Jimenez 2B | TOR,4,.329,18,19,0,742
W ,Eric Haase C | MIL,5,.304,10,14,0,744
