All Second Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Brice Turang 2B | MIL,18,.359,97,81,24,26
W ,Kyle DeBarge 2B | MIN ,0,.000,0,0,0,9999
W ,Mark Mathias 2B | CIN ,0,.000,0,0,0,9999
W ,Abel Bastidas 2B | DET ,0,.000,0,0,0,9999
W ,Christian Martin 2B | STL ,0,.000,0,0,0,9999
W ,Kevin Josephina 2B | ATL ,0,.000,0,0,0,9999
W ,Arturo Michelena 2B | HOU ,0,.000,0,0,0,9999
W ,Joey DeMichele 2B | CHW ,0,.000,0,0,0,9999
W ,Jose Rosario 2B | BOS ,0,.000,0,0,0,9999
W ,Josh Adamczewski 2B | MIL ,0,.000,0,0,0,9999
W ,Yiddi Cappe 2B | MIA ,0,.000,0,0,0,9999
W ,Abrahan Ramirez 2B | MIA ,0,.000,0,0,0,9999
W ,Bryan Mejia 2B | WAS ,0,.000,0,0,0,9999
W ,Brett Auerbach 2B | SF ,0,.000,0,0,0,9999
W ,Tony Kemp 2B | MIN ,0,.000,0,0,0,9999
W ,Jeremias Pineda 2B | MIA ,0,.000,0,0,0,9999
W ,Daniel Brito 2B | PHI ,0,.000,0,0,0,9999
W ,Isan Diaz 2B | DET,0,.000,0,0,0,9999
W ,Ian Sagdal 2B | WAS ,0,.000,0,0,0,9999
W ,Rafael Lantigua 2B | PHI ,0,.000,0,0,0,9999
W ,Darnell Sweeney 2B | TOR ,0,.000,0,0,0,9999
W ,Billy Fleming 2B | MIA ,0,.000,0,0,0,9999
W ,Brantley Bell 2B | CIN ,0,.000,0,0,0,9999
W ,Josh Bissonette 2B | PIT ,0,.000,0,0,0,9999
W ,Tommy Troy 2B | ARI ,0,.000,0,0,0,9999
W ,Jacob Gonzalez 2B | CHW ,0,.000,0,0,0,9999
W ,Ian Lewis 2B | MIA ,0,.000,0,0,0,9999
W ,Cavan Biggio 2B | KC ,0,.000,0,0,0,9999
W ,Luis Santana 2B | HOU ,0,.000,0,0,0,9999
W ,Ryan Gebhardt 2B | ARI ,0,.000,0,0,0,9999
W ,Joe Dunand 2B | BOS ,0,.000,0,0,0,9999
W ,Yendry Rojas 2B | SD ,0,.000,0,0,0,9999
W ,Nick Lucky 2B | MIN ,0,.000,0,0,0,9999
W ,Delvis Morales 2B | LAD ,0,.000,0,0,0,9999
W ,Aroon Escobar 2B | PHI ,0,.000,0,0,0,9999
W ,Rodolfo Castro 2B | PHI ,0,.000,0,0,0,9999
W ,Jean Perez 2B | COL ,0,.000,0,0,0,9999
W ,Jimmy Govern 2B | KC ,0,.000,0,0,0,9999
W ,Joey Wendle 2B | ATL ,0,.000,0,0,0,9999
W ,J.C. Rodriguez 2B | NYM ,0,.000,0,0,0,9999
W ,Marco Vargas 2B | NYM ,0,.000,0,0,0,9999
W ,Heiker Meneses 2B | PHI ,0,.000,0,0,0,9999
W ,Jose Devers 2B | ATL ,0,.000,0,0,0,9999
W ,Ronald Bueno 2B | CIN ,0,.000,0,0,0,9999
W ,Franklin Rollin 2B | TEX ,0,.000,0,0,0,9999
W ,Michael Arroyo 2B | SEA ,0,.000,0,0,0,9999
W ,Jose Rodriguez 2B | PHI ,0,.000,0,0,0,9999
W ,Ambioris Tavarez 2B | ATL ,0,.000,0,0,0,9999
W ,Benjamin Blackwell 2B | TEX ,0,.000,0,0,0,9999
W ,Sammy Faltine 2B | CIN ,0,.000,0,0,0,9999
W ,Kevin Santa 2B | SEA ,0,.000,0,0,0,9999
W ,Chris Givin 2B | SD ,0,.000,0,0,0,9999
W ,Ryan Spikes 2B | TB ,0,.000,0,0,0,9999
W ,Nate Mondou 2B | CHW ,0,.000,0,0,0,9999
W ,Jheremy Vargas 2B | MIL ,0,.000,0,0,0,9999
W ,Cesar Izturis Jr. 2B | SEA ,0,.000,0,0,0,9999
W ,Peyton Wilson 2B | KC ,0,.000,0,0,0,9999
W ,David Fletcher 2B | ATL ,0,.000,0,0,0,9999
W ,Harold Castro 2B | KC,0,.000,0,0,0,9999
W ,Leury Garcia 2B | ATL ,0,.000,0,0,0,9999
W ,Nate Easley 2B | SD ,0,.000,0,0,0,9999
W ,Connor Kopach 2B | SEA ,0,.000,0,0,0,9999
W ,Carlos Garcia 2B | KC ,0,.000,0,0,0,9999
W ,Dale Burdick 2B | NYM ,0,.000,0,0,0,9999
W ,Wesley Jones 2B | COL ,0,.000,0,0,0,9999
W ,Angel Pierre 2B | BOS ,0,.000,0,0,0,9999
W ,Cooper Bowman 2B | CIN ,0,.000,0,0,0,9999
W ,Bryce Windham 2B | CHC ,0,.000,0,0,0,9999
W ,Adrian Placencia 2B | LAA ,0,.000,0,0,0,9999
W ,Kervin Suarez 2B | BOS ,0,.000,0,0,0,9999
W ,Brian Rey 2B | CIN ,0,.000,0,0,0,9999
W ,Dervy Ventura 2B | SEA ,0,.000,0,0,0,9999
W ,Connor Owings 2B | ARI ,0,.000,0,0,0,9999
W ,Carson Tucker 2B | CLE ,0,.000,0,0,0,9999
W ,Hayden Cantrelle 2B | CHC ,0,.000,0,0,0,9999
W ,Jonathan Mejia 2B | STL ,0,.000,0,0,0,9999
W ,Reed Gragnani 2B | BOS ,0,.000,0,0,0,9999
W ,Sebastian Almonte 2B | CIN ,0,.000,0,0,0,9999
W ,DJ Layton 2B | BAL ,0,.000,0,0,0,9999
W ,Jose Curpa 2B | ARI ,0,.000,0,0,0,9999
W ,Kean Wong 2B | SEA ,0,.000,0,0,0,9999
W ,Kolten Wong 2B | BAL ,0,.000,0,0,0,9999
W ,Nikau Pouaka-Grego 2B | PHI ,0,.000,0,0,0,9999
W ,Rafael Ramirez 2B | WAS ,0,.000,0,0,0,9999
W ,Junior Arrojo 2B | MIA ,0,.000,0,0,0,9999
W ,Michael Chavis 2B | LAD ,0,.000,0,0,0,9999
W ,Herard Gonzalez 2B | KC ,0,.000,0,0,0,9999
W ,Deiner Lopez 2B | BOS ,0,.000,0,0,0,9999
W ,Felix Morrobel 2B | LAA ,0,.000,0,0,0,9999
W ,Jalen Miller 2B | ATL ,0,.000,0,0,0,9999
W ,Dameury Pena 2B | MIN ,0,.000,0,0,0,9999
W ,Chesny Young 2B | CHC ,0,.000,0,0,0,9999
W ,Angelo Gumbs 2B | CIN ,0,.000,0,0,0,9999
W ,Shane Mardirosian 2B | CIN ,0,.000,0,0,0,9999
W ,Rylan Bannon 2B | NYM ,0,.000,0,0,0,9999
W ,Danyer Cueva 2B | TEX ,0,.000,0,0,0,9999
W ,Kendall Simmons 2B | PHI ,0,.000,0,0,0,9999
W ,Jaime Pedroza 2B | CHW ,0,.000,0,0,0,9999
W ,Giovanny Alfonzo 2B | MIA ,0,.000,0,0,0,9999
W ,Logan Warmoth 2B | SEA ,0,.000,0,0,0,9999
W ,Termarr Johnson 2B | PIT ,0,.000,0,0,0,9999
W ,Ripken Reyes 2B | SD ,0,.000,0,0,0,9999
W ,Alexeis Azuaje 2B | PHI ,0,.000,0,0,0,9999
W ,Jake Peter 2B | LAD ,0,.000,0,0,0,9999
W ,Kaden Polcovich 2B | SEA ,0,.000,0,0,0,9999
W ,Quinn McDaniel 2B | SF ,0,.000,0,0,0,9999
W ,Christian Arroyo 2B | PHI,0,.000,0,0,0,9999
W ,J.T. Arruda 2B | WAS ,0,.000,0,0,0,9999
W ,Seth Spivey 2B | TEX ,0,.000,0,0,0,9999
W ,Rolando Espinosa 2B | HOU ,0,.000,0,0,0,9999
W ,Jhonny Bethencourt 2B | CHC ,0,.000,0,0,0,9999
W ,Alejo Lopez 2B | ATH ,0,.000,0,0,0,9999
W ,Mitch Voit 2B | NYM ,0,.000,0,0,0,9999
W ,Josh VanMeter 2B | NYY ,0,.000,0,0,0,9999
W ,Jordan Cowan 2B | ATL ,0,.000,0,0,0,9999
W ,Jordan Howard 2B | ARI ,0,.000,0,0,0,9999
W ,Drew Stankiewicz 2B | CLE ,0,.000,0,0,0,9999
W ,Jake Scheiner 2B | SEA ,0,.000,0,0,0,9999
W ,Trey Snyder 2B | NYM ,0,.000,0,0,0,9999
W ,Aaron Bracho 2B | LAD ,0,.000,0,0,0,9999
W ,Ordomar Valdez 2B | CLE ,0,.000,0,0,0,9999
W ,Whit Merrifield 2B | ATL,0,.000,0,0,0,9999
W ,Blake Barber 2B | MIA ,0,.000,0,0,0,9999
