All Outfielders 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Eduardo Quintero OF | LAD ,0,.000,0,0,0,9999
W ,C.J. Kayfus OF | CLE,0,.000,0,0,0,9999
W ,Zavier Warren OF | MIL ,0,.000,0,0,0,9999
W ,Paulino Santana OF | TEX ,0,.000,0,0,0,9999
W ,Aneury Tavarez OF | BOS ,0,.000,0,0,0,9999
W ,David Walker OF | CHW ,0,.000,0,0,0,9999
W ,Cristopher Espinola OF | CLE ,0,.000,0,0,0,9999
W ,Angel Perez OF | TB ,0,.000,0,0,0,9999
W ,A.J. Vukovich OF | ARI ,0,.000,0,0,0,9999
W ,Junior Franco OF | ARI ,0,.000,0,0,0,9999
W ,Quin Cotton OF | CIN ,0,.000,0,0,0,9999
W ,Angel Mateo OF | TB ,0,.000,0,0,0,9999
W ,Nick Morabito OF | NYM ,0,.000,0,0,0,9999
W ,Kyren Paris OF | LAA,0,.000,0,0,0,9999
W ,Boo Vazquez OF | MIA ,0,.000,0,0,0,9999
W ,Kevin Graham OF | ARI ,0,.000,0,0,0,9999
W ,Joseph Monge OF | BOS ,0,.000,0,0,0,9999
W ,Chris Madera OF | BOS ,0,.000,0,0,0,9999
W ,Brenden Webb OF | BAL ,0,.000,0,0,0,9999
W ,Jabari Henry OF | SEA ,0,.000,0,0,0,9999
W ,Tirso Ornelas OF | SD,0,.000,0,0,0,9999
W ,Heath Quinn OF | SF ,0,.000,0,0,0,9999
W ,Taylor Murphy OF | CLE ,0,.000,0,0,0,9999
W ,Bladimir Restituyo OF | MIL ,0,.000,0,0,0,9999
W ,Kalian Sams OF | SEA ,0,.000,0,0,0,9999
W ,Ryan Ramiz OF | SEA ,0,.000,0,0,0,9999
W ,Colin Davis OF | SEA ,0,.000,0,0,0,9999
W ,Manny Sanchez OF | TB ,0,.000,0,0,0,9999
W ,Galvi Moscat OF | MIA ,0,.000,0,0,0,9999
W ,Kevin Garcia OF | CIN ,0,.000,0,0,0,9999
W ,Logan Moon OF | KC ,0,.000,0,0,0,9999
W ,Shannon Wilkerson OF | BOS ,0,.000,0,0,0,9999
W ,Jerry Downs OF | BOS ,0,.000,0,0,0,9999
W ,Quincy Scott OF | TEX ,0,.000,0,0,0,9999
W ,Austin Wilson OF | SEA ,0,.000,0,0,0,9999
W ,James Tibbs OF | LAD ,0,.000,0,0,0,9999
W ,Jared Dupere OF | SF ,0,.000,0,0,0,9999
W ,Jake Sanford OF | NYY ,0,.000,0,0,0,9999
W ,Wade Meckler OF | SF,0,.000,0,0,0,9999
W ,Robert Neustrom OF | BAL ,0,.000,0,0,0,9999
W ,Roby Enriquez OF | ARI ,0,.000,0,0,0,9999
W ,Caden Rose OF | BOS ,0,.000,0,0,0,9999
W ,Ivan Brethowr OF | PIT ,0,.000,0,0,0,9999
W ,Korbyn Dickerson OF | SEA ,0,.000,0,0,0,9999
W ,Kelly Dugan OF | PHI ,0,.000,0,0,0,9999
W ,Jacen Roberson OF | ARI ,0,.000,0,0,0,9999
W ,Joe McCarthy OF | TEX ,0,.000,0,0,0,9999
W ,Shane Sasaki OF | MIA ,0,.000,0,0,0,9999
W ,Dwanya Williams-Sutton OF | SD ,0,.000,0,0,0,9999
Trex,Jasson Dominguez OF | NYY,0,.000,0,0,0,9999
W ,Randy De Jesus OF | LAA ,0,.000,0,0,0,9999
W ,Juan Chacon OF | BOS ,0,.000,0,0,0,9999
W ,Jairo Pomares OF | SF ,0,.000,0,0,0,9999
W ,Gavin Turley OF | ATH ,0,.000,0,0,0,9999
