All First Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,38,.347,87,126,1,21
W ,Preston Beck 1B | TEX ,0,.000,0,0,0,9999
W ,Yoshitomo Tsutsugo 1B | SF ,0,.000,0,0,0,9999
W ,Hunter Fitz-Gerald 1B | SEA ,0,.000,0,0,0,9999
W ,Wes Kath 1B | CHW ,0,.000,0,0,0,9999
W ,Joey Rose 1B | ARI ,0,.000,0,0,0,9999
W ,Randolph Gassaway 1B | PIT ,0,.000,0,0,0,9999
W ,Chase McDonald 1B | HOU ,0,.000,0,0,0,9999
W ,Branden Boissiere 1B | WAS ,0,.000,0,0,0,9999
W ,Ivan Melendez 1B | ARI ,0,.000,0,0,0,9999
W ,Felix Stevens 1B | CHC ,0,.000,0,0,0,9999
W ,Alex Guerrero 1B | NYY ,0,.000,0,0,0,9999
W ,Branden Berry 1B | MIA ,0,.000,0,0,0,9999
W ,Reynaldo Rivera 1B | DET ,0,.000,0,0,0,9999
W ,JT Schwartz 1B | NYM ,0,.000,0,0,0,9999
W ,Tyler White 1B | MIN ,0,.000,0,0,0,9999
W ,Evan White 1B | LAA ,0,.000,0,0,0,9999
W ,Cole Mathis 1B | CHC ,0,.000,0,0,0,9999
W ,Carmen Benedetti 1B | HOU ,0,.000,0,0,0,9999
W ,John Silviano 1B | MIA ,0,.000,0,0,0,9999
W ,R.J. Yeager 1B | STL ,0,.000,0,0,0,9999
W ,Edwin Rios 1B | CIN ,0,.000,0,0,0,9999
W ,Austin Byler 1B | ARI ,0,.000,0,0,0,9999
W ,Josiah Sightler 1B | PIT ,0,.000,0,0,0,9999
W ,Ernesto Wilson Martinez 1B | MIL ,0,.000,0,0,0,9999
W ,Austin Davidson 1B | WAS ,0,.000,0,0,0,9999
W ,Xavier Casserilla 1B | HOU ,0,.000,0,0,0,9999
W ,Callan Moss 1B | PIT ,0,.000,0,0,0,9999
W ,Tanner Thach 1B | COL ,0,.000,0,0,0,9999
W ,Kewby Meyer 1B | TB ,0,.000,0,0,0,9999
W ,Joe Suozzi 1B | NYM ,0,.000,0,0,0,9999
W ,Lewin Diaz 1B | WAS ,0,.000,0,0,0,9999
W ,D.J. Hicks 1B | MIN ,0,.000,0,0,0,9999
W ,Matt Winaker 1B | NYM ,0,.000,0,0,0,9999
W ,Caden Connor 1B | CHW ,0,.000,0,0,0,9999
W ,Matt Dean 1B | TOR ,0,.000,0,0,0,9999
W ,Conrad Gregor 1B | BOS ,0,.000,0,0,0,9999
W ,Peyton Williams 1B | TOR ,0,.000,0,0,0,9999
W ,Torin Montgomery 1B | MIA ,0,.000,0,0,0,9999
