All Catchers 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Ryan Wrobleski C | HOU ,0,.000,0,0,0,9999
W ,Zach Jackson C | STL ,0,.000,0,0,0,9999
W ,Wilmer Dominguez C | TB ,0,.000,0,0,0,9999
W ,Juan Garcia C | CIN ,0,.000,0,0,0,9999
W ,Keinner Pina C | LAA ,0,.000,0,0,0,9999
W ,Isaias Quiroz C | TEX ,0,.000,0,0,0,9999
W ,Manuel Garcia C | ARI,0,.000,0,0,0,9999
W ,Adony Mejia C | PHI ,0,.000,0,0,0,9999
W ,Edward Duran C | TOR ,0,.000,0,0,0,9999
W ,Rodolfo Duran C | SD ,0,.000,0,0,0,9999
W ,Wilson Garcia C | WAS ,0,.000,0,0,0,9999
W ,Daniel Salters C | CLE,0,.000,0,0,0,9999
W ,Roberto Pena C | LAA ,0,.000,0,0,0,9999
W ,Leonardo Bernal C | STL ,0,.000,0,0,0,9999
W ,Jason Hagerty C | SD ,0,.000,0,0,0,9999
W ,Kellin Deglan C | TOR ,0,.000,0,0,0,9999
W ,Omar Martinez C | NYY ,0,.000,0,0,0,9999
W ,Tomas Morales C | PIT ,0,.000,0,0,0,9999
W ,Wilfred Astudillo C | NYM ,0,.000,0,0,0,9999
W ,Joel Diaz C | COL ,0,.000,0,0,0,9999
W ,Eliezer Alfonzo C | DET ,0,.000,0,0,0,9999
W ,Joe Mack C | MIA ,0,.000,0,0,0,9999
W ,Victor Planchart C | CLE ,0,.000,0,0,0,9999
W ,Kevin Bazzell C | WAS ,0,.000,0,0,0,9999
W ,Juan Uriarte C | NYM ,0,.000,0,0,0,9999
W ,Luis Meza C | TOR ,0,.000,0,0,0,9999
W ,Johanfran Garcia C | BOS ,0,.000,0,0,0,9999
W ,Michael Papierski C | SEA ,0,.000,0,0,0,9999
W ,Javier Valdes C | ATL ,0,.000,0,0,0,9999
W ,Cam Gallagher C | PHI ,0,.000,0,0,0,9999
W ,Juan Montero C | BOS ,0,.000,0,0,0,9999
W ,Ramon Rodriguez C | MIL ,0,.000,0,0,0,9999
W ,Daiverson Gutierrez C | NYM ,0,.000,0,0,0,9999
