"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Urshela, Gio",570482,2023,31,214,228,64,53,8,1,2,36,10,15.8,4.4,".299",".374",".329","0.703","0.075",".346","24","2","3","0","22",".259",".361",".289",".297","87.5","8.6",34.8,3.9,33.7,"97.28858011","92.735387017",18.8,54.8,"26.2"
"Guerrero Jr., Vladimir",665489,2023,24,602,682,159,103,30,0,26,100,67,14.7,9.8,".264",".444",".345","0.789","0.180",".277","94","3","5","5","78",".299",".501",".378",".378","92.1","10.5",32.4,11.1,49.2,"104.050992964","96.528144743",23,50.6,"26.4"
"Miranda, Jose",669304,2023,25,142,152,30,23,4,0,3,24,9,15.8,5.9,".211",".303",".263","0.566","0.092",".235","13","0","0","0","12",".242",".345",".281",".292","87.9","10.1",29.7,4.2,37.3,"98.190953051","93.099214068",25.2,51.7,"26.6"
"Senzel, Nick",669222,2023,28,301,330,71,48,10,0,13,74,26,22.4,7.9,".236",".399",".297","0.696","0.163",".269","42","2","6","0","49",".245",".367",".296",".306","87.4","15.2",29.3,4.8,34.1,"98.198786726","93.126818628",21.6,49.4,"28.3"
"Davis, J.D.",605204,2023,30,480,546,119,77,23,1,18,152,52,27.8,9.5,".248",".412",".325","0.737","0.164",".320","69","0","1","0","61",".244",".411",".323",".325","91.1","7.8",33.5,9.6,45.2,"101.437064311","95.258851108",34,53.1,"25.8"
"Arenado, Nolan",571448,2023,32,560,612,149,95,26,2,26,101,41,16.5,6.7,".266",".459",".315","0.774","0.193",".279","93","3","3","5","71",".266",".435",".320",".316","88.8","16.9",33,7.3,38.1,"99.311427863","93.760489679",20.2,48.5,"24.9"
"Rizzo, Anthony",519203,2023,33,373,421,91,65,14,0,12,97,35,23,8.3,".244",".378",".328","0.706","0.134",".298","41","3","0","1","45",".246",".393",".319",".330","90","17.8",41.2,6.9,37.5,"99.161259855","93.823202582",25,48.4,"24.7"
"Estrada, Thairo",642731,2023,27,495,530,134,92,26,2,14,120,22,22.6,4.2,".271",".416",".315","0.731","0.145",".331","49","7","23","1","63",".248",".371",".292",".296","85.9","10.8",34.7,4.8,33.7,"97.898139565","92.983630679",21.5,51.7,"28.1"
"McKinney, Billy",641856,2023,28,128,147,29,19,3,1,6,39,17,26.5,11.6,".227",".406",".320","0.726","0.179",".274","14","0","1","1","19",".242",".471",".346",".335","89.1","12.2",43.3,12.2,41.1,"99.630086889","94.008399667",28.6,44.7,"27.1"
"Mountcastle, Ryan",663624,2023,26,423,470,114,74,21,1,18,107,37,22.8,7.9,".270",".452",".328","0.780","0.182",".315","68","1","3","1","64",".273",".503",".356",".333","91.4","12",35.9,12.1,44.9,"102.167820745","95.45427677",28.3,54.7,"28.2"
"Peraza, Oswald",672724,2023,23,173,191,33,23,8,0,2,50,13,26.2,6.8,".191",".272",".267","0.539","0.081",".256","14","3","4","0","15",".222",".331",".281",".296","87.2","9.8",27.6,4.1,28.5,"98.567658226","93.419530488",33.1,49.5,"28.7"
"Robles, Victor",645302,2023,26,107,126,32,26,5,1,0,18,11,14.3,8.7,".299",".364",".385","0.749","0.065",".360","8","1","8","0","15",".266",".355",".322",".356","86.7","9.9",25.8,2.2,30.1,"98.782711395","93.526191163",22,53.1,"28.0"
"Pillar, Kevin",607680,2023,34,197,206,45,26,10,0,9,50,6,24.3,2.9,".228",".416",".248","0.664","0.188",".255","32","1","4","0","29",".255",".418",".295",".274","87.9","17.8",39.3,8,38.7,"98.402506267","93.29131396",26.5,56.3,"28.2"
"Pederson, Joc",592626,2023,31,358,425,84,52,14,3,15,89,57,20.9,13.4,".235",".416",".348","0.764","0.181",".268","51","0","0","6","59",".262",".479",".364",".372","92.1","15.2",33.5,12.1,52.2,"103.009948074","96.305444852",24.6,45.2,"26.4"
"Diaz, Jordan",672478,2023,22,272,293,60,41,9,0,10,69,17,23.5,5.8,".221",".364",".273","0.637","0.143",".258","27","1","0","0","20",".227",".370",".285",".280","90","5.4",29.9,6.4,43.6,"101.524778137","95.000604729",29.9,56,"25.3"
"Vogelbach, Daniel",596129,2023,30,275,319,64,43,8,0,13,81,42,25.4,13.2,".233",".404",".339","0.743","0.171",".282","48","0","0","1","33",".229",".401",".324",".335","91.7","14.5",31.4,9.3,50,"101.166799794","95.217899227",21.6,36,"23.6"
"Ozuna, Marcell",542303,2023,32,530,592,145,75,29,1,40,134,57,22.6,9.6,".274",".558",".346","0.904","0.284",".293","100","0","0","1","84",".280",".577",".393",".353","91.8","15.6",34.9,16.6,49,"103.257673232","96.232240934",26.7,48.4,"26.4"
"Bae, Ji Hwan",678225,2023,23,334,371,77,56,17,2,2,92,30,24.8,8.1,".231",".311",".296","0.607","0.080",".310","32","9","24","0","54",".222",".293",".264",".289","88.1","1.1",24.3,2,36.8,"98.940343707","93.542422069",25.4,47.6,"29.7"
"Wisdom, Patrick",621550,2023,31,268,302,55,23,8,1,23,111,30,36.8,9.9,".205",".500",".289","0.789","0.295",".237","46","2","4","0","43",".218",".498",".339",".300","92.7","21.7",33.3,20.1,54.7,"103.448312785","96.664593567",33.8,46.7,"27.7"
"McNeil, Jeff",643446,2023,31,585,648,158,119,25,4,10,65,39,10,6,".270",".378",".333","0.711","0.108",".288","55","0","10","0","75",".251",".340",".294",".316","86","14.4",32.1,1.3,27.4,"95.984354131","92.004150754",13.5,53,"27.4"
"Olivares, Edward",658668,2023,27,354,385,93,54,23,4,12,64,22,16.6,5.7,".263",".452",".317","0.769","0.189",".289","36","5","11","1","47",".270",".456",".338",".326","87.3","12.2",34.2,7.9,37.7,"99.121503973","93.605326233",22.9,50.7,"28.6"
"Mullins, Cedric",656775,2023,28,404,455,94,53,23,3,15,101,43,22.2,9.5,".233",".416",".305","0.721","0.183",".271","74","3","19","1","51",".227",".356",".291",".302","88.9","21.6",28.1,6.5,37.1,"98.843959934","93.556146126",24.9,49.6,"28.0"
"Arroyo, Christian",624414,2023,28,195,206,47,28,16,0,3,45,7,21.8,3.4,".241",".369",".268","0.637","0.128",".295","24","3","1","0","23",".236",".349",".273",".269","86.3","11.1",35.9,4.6,32.7,"97.619093067","92.82512",25.3,59.7,"27.7"
