All Second Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Seth Spivey 2B | TEX ,0,.000,0,0,0,9999
W ,Herard Gonzalez 2B | KC ,0,.000,0,0,0,9999
W ,Sebastian Almonte 2B | CIN ,0,.000,0,0,0,9999
W ,Chris Givin 2B | SD ,0,.000,0,0,0,9999
W ,Jorbit Vivas 2B | NYY,0,.000,0,0,0,9999
W ,Rafael Lantigua 2B | PHI ,0,.000,0,0,0,9999
W ,Ryan Fitzgerald 2B | MIN,0,.000,0,0,0,9999
W ,Carlos Sepulveda 2B | CHC ,0,.000,0,0,0,9999
W ,James Triantos 2B | CHC ,0,.000,0,0,0,9999
W ,Corey Wimberly 2B | MIN ,0,.000,0,0,0,9999
W ,Yendry Rojas 2B | SD ,0,.000,0,0,0,9999
W ,Andrew Daniel 2B | ATL,0,.000,0,0,0,9999
W ,Jacob Gonzalez 2B | CHW ,0,.000,0,0,0,9999
W ,Kaden Polcovich 2B | SEA ,0,.000,0,0,0,9999
W ,Wesley Jones 2B | COL ,0,.000,0,0,0,9999
W ,Giovanny Alfonzo 2B | MIA ,0,.000,0,0,0,9999
W ,River Stevens 2B | SD ,0,.000,0,0,0,9999
W ,"Max Schuemann 2B,3B,SS | ATH",0,.000,0,0,0,9999
W ,Bryan Arias 2B | HOU ,0,.000,0,0,0,9999
W ,"Colt Keith 2B,3B | DET",0,.000,0,0,0,9999
W ,Hunter Stovall 2B | COL ,0,.000,0,0,0,9999
W ,Jean Carmona 2B | MIL ,0,.000,0,0,0,9999
W ,Tyler Friis 2B | CLE ,0,.000,0,0,0,9999
W ,Ryan Gebhardt 2B | ARI ,0,.000,0,0,0,9999
W ,Angelys Nina 2B | PHI ,0,.000,0,0,0,9999
W ,Wade Kirkland 2B | ATH ,0,.000,0,0,0,9999
W ,Jose Colmenares 2B | NYY ,0,.000,0,0,0,9999
Guillotine,Luke Keaschall 2B | MIN ,0,.000,0,0,0,9999
W ,Yamal Encarnacion 2B | HOU ,0,.000,0,0,0,9999
W ,Avery Romero 2B | MIA ,0,.000,0,0,0,9999
W ,Roc Riggio 2B | COL ,0,.000,0,0,0,9999
W ,Keiner Delgado 2B | PIT ,0,.000,0,0,0,9999
W ,Shay Whitcomb 2B | HOU,0,.000,0,0,0,9999
W ,Reed Harper 2B | ATL ,0,.000,0,0,0,9999
W ,Cooper Kinney 2B | TB ,0,.000,0,0,0,9999
W ,Fabian Pertuz 2B | CHC ,0,.000,0,0,0,9999
W ,Julio Garcia 2B | MIL ,0,.000,0,0,0,9999
W ,Jimmy Allen 2B | LAD ,0,.000,0,0,0,9999
W ,Robbie Tenerowicz 2B | SEA,0,.000,0,0,0,9999
W ,Randy Ventura 2B | CIN ,0,.000,0,0,0,9999
W ,Ryan Spikes 2B | TB ,0,.000,0,0,0,9999
W ,Marcus Chiu 2B | MIA,0,.000,0,0,0,9999
W ,Riley Unroe 2B | DET ,0,.000,0,0,0,9999
W ,Jordan McCants 2B | MIA ,0,.000,0,0,0,9999
