All Shortstops 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Mitch Jebb SS | PIT ,0,.000,0,0,0,9999
W ,Frainyer Chavez SS | TEX ,0,.000,0,0,0,9999
W ,Jack Pineda SS | KC ,0,.000,0,0,0,9999
W ,Peter Mooney SS | MIN ,0,.000,0,0,0,9999
W ,Joshua Day SS | ARI ,0,.000,0,0,0,9999
W ,Jefrey De Los Santos SS | NYM ,0,.000,0,0,0,9999
W ,Junior Sanquintin SS | CLE ,0,.000,0,0,0,9999
W ,Luke Waddell SS | ATL ,0,.000,0,0,0,9999
W ,Griff O'Ferrall SS | BAL ,0,.000,0,0,0,9999
W ,Arquimedes Gamboa SS | STL ,0,.000,0,0,0,9999
W ,Michael De Leon SS | CIN ,0,.000,0,0,0,9999
W ,Gilbert Lara SS | BAL ,0,.000,0,0,0,9999
W ,Dawel Joseph SS | SEA ,0,.000,0,0,0,9999
W ,Eli Willits SS | WAS ,0,.000,0,0,0,9999
W ,Liam Spence SS | CHC ,0,.000,0,0,0,9999
W ,Jackson Loftin SS | HOU ,0,.000,0,0,0,9999
W ,Anthony Phillips SS | COL ,0,.000,0,0,0,9999
W ,Ashly Andujar SS | COL ,0,.000,0,0,0,9999
W ,Agustin Marte SS | MIN ,0,.000,0,0,0,9999
W ,Dane Hutcheon SS | CLE ,0,.000,0,0,0,9999
W ,Angel Cepeda SS | CHC ,0,.000,0,0,0,9999
W ,Jeff Kemp SS | BAL ,0,.000,0,0,0,9999
W ,Cristian Toribio SS | TB ,0,.000,0,0,0,9999
W ,Jeremy Rivas SS | STL ,0,.000,0,0,0,9999
W ,Yolfran Castillo SS | TEX ,0,.000,0,0,0,9999
W ,Stephen Alemais SS | PIT ,0,.000,0,0,0,9999
W ,Wehiwa Aloy SS | BAL ,0,.000,0,0,0,9999
W ,Kevin Merrell SS | MIN ,0,.000,0,0,0,9999
W ,Aiva Arquette SS | MIA ,0,.000,0,0,0,9999
W ,Tommy Sacco SS | HOU ,0,.000,0,0,0,9999
W ,Tanner Murray SS | CHW ,0,.000,0,0,0,9999
W ,Marcos Brito SS | ATH ,0,.000,0,0,0,9999
W ,Edwin Garcia SS | TEX ,0,.000,0,0,0,9999
W ,Nonie Williams SS | LAA ,0,.000,0,0,0,9999
W ,Junior Arias SS | SF ,0,.000,0,0,0,9999
W ,Glenn Santiago SS | TOR ,0,.000,0,0,0,9999
W ,Matt Williams SS | LAA ,0,.000,0,0,0,9999
W ,Joswa Lugo SS | LAA ,0,.000,0,0,0,9999
W ,Paul Hendrix SS | CLE ,0,.000,0,0,0,9999
Magnum GI,Jacob Wilson SS | ATH,0,.000,0,0,0,9999
W ,Alexis Pantoja SS | CLE ,0,.000,0,0,0,9999
W ,Ethan Holliday SS | COL ,0,.000,0,0,0,9999
W ,Leosdany Molina SS | HOU ,0,.000,0,0,0,9999
W ,Edwin Figuera SS | CHC ,0,.000,0,0,0,9999
W ,Yahil Melendez SS | CHC ,0,.000,0,0,0,9999
W ,"Ryan Ritter 2B,SS | COL",0,.000,0,0,0,9999
W ,Cody Schrier SS | MIA ,0,.000,0,0,0,9999
W ,Benjamin Cowles SS | CHW,0,.000,0,0,0,9999
W ,Jose King SS | DET ,0,.000,0,0,0,9999
W ,Henyer Gomez SS | CLE ,0,.000,0,0,0,9999
W ,Xavier Neyens SS | HOU ,0,.000,0,0,0,9999
Young Guns,Gunnar Henderson SS | BAL,0,.000,0,0,0,9999
