Action,Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank
,W,Danny Coulombe P • TEX,40,50,0,0,0,2,1,2,1,13,43,13,30,2.48,1.07,648
,W,Bryan Baker P • TB,50,51,0,0,0,3,3,2,3,13,59,15,42,4.11,1.13,649
,W,Victor Vodnik P • COL,49,46,0,0,0,4,3,8,4,5,46,25,47,3.86,1.47,651
,W,James McArthur P • KC,43,41,1,0,0,3,4,12,4,2,39,9,49,4.78,1.34,652
,W,Brendon Little P • TOR,59,68,0,0,0,3,2,1,3,21,70,35,45,3.32,1.34,654
,W,Nestor Cortes P • SD,82,16,15,6,0,5,5,0,0,0,76,26,78,4.5,1.27,657
,W,Brusdar Graterol P • LAD,31,31,0,0,0,2,1,3,0,8,23,6,23,1.45,0.94,659
,W,Will Warren P • NYY,109,23,22,4,0,6,6,0,0,0,118,44,111,4.92,1.41,660
,W,Stephen Kolek P • KC,87,28,12,6,1,4,4,0,0,1,63,24,83,3.9,1.22,662
,MAGA D...,Shane Bieber P • TOR,48,8,8,4,0,4,2,0,0,0,46,11,45,3.51,1.15,664
,W,Jake Irvin P • WAS,170,31,31,11,0,8,12,0,0,0,129,57,173,5.12,1.35,665
,W,Dustin May P • BOS,108,20,19,8,0,6,8,0,0,0,98,45,103,4.67,1.37,668
,W,Matt Moore P • BOS,50,51,0,0,0,5,2,1,1,15,49,22,42,3.96,1.28,669
,W,Ryan Pressly P • CHC,50,53,0,0,0,2,3,10,5,11,46,17,51,3.91,1.34,670
,W,Yariel Rodriguez P • TOR,78,49,8,1,0,2,4,1,1,9,73,36,59,3.69,1.22,671
,W,Huascar Brazoban P • NYM,58,48,2,0,0,4,2,1,4,10,57,27,48,3.7,1.29,672
,Runtim...,Reed Garrett P • NYM,48,47,0,0,0,4,4,3,5,14,60,23,43,4.1,1.37,673
,W,Keynan Middleton P • STL,50,51,0,0,0,2,2,2,2,5,64,23,40,3.38,1.24,674
,W,Yennier Cano P • BAL,61,68,0,0,0,3,5,4,5,25,59,22,59,3.81,1.32,677
,W,Kevin Kelly P • TB,54,52,0,0,0,4,4,0,3,10,48,10,51,4,1.13,680
,W,Caleb Ferguson P • SEA,61,67,1,0,0,4,4,1,4,14,60,23,57,3.84,1.31,683
,Magnum...,Logan Henderson P • MIL,25,5,5,1,0,3,0,0,0,0,33,8,17,1.78,0.99,684
,W,Bubba Chandler P • PIT,31,7,4,1,0,4,1,1,0,0,31,4,25,4.02,0.93,685
,W,Landen Roupp P • SF,85,22,15,5,0,5,5,0,0,0,81,38,87,3.8,1.46,686
,W,Tyler Ferguson P • ATH,55,53,0,0,0,4,2,2,3,12,57,30,39,4.39,1.25,687
,W,Hoby Milner P • TEX,67,69,0,0,0,3,2,0,2,14,60,17,63,3.76,1.19,688
,W,Bailey Falter P • KC,121,25,23,6,0,6,8,0,0,0,82,40,118,4.6,1.3,691
,Long B...,Jose Ferrer P • WAS,54,53,0,0,0,3,2,6,2,13,48,12,56,4.33,1.26,692
,W,Johan Oviedo P • PIT,79,16,16,4,0,4,5,0,0,0,75,40,65,4.08,1.32,693
,W,Michael Tonkin P • MIN,51,37,0,0,0,4,2,1,2,2,50,18,44,4.18,1.2,694
,W,Erick Fedde P • MIL,154,32,27,9,1,6,12,0,0,1,110,61,150,4.55,1.37,695
,W,Bowden Francis P • TOR,70,19,11,4,0,4,6,0,0,0,62,22,62,4.37,1.2,696
,W,Tyler Anderson P • LAA,149,28,27,8,0,5,10,0,0,0,118,63,144,4.45,1.38,698
,W,Taylor Rogers P • CHC,53,60,0,0,0,3,3,0,1,10,58,23,47,3.19,1.3,699
,W,Graham Ashcraft P • CIN,84,41,10,4,0,7,6,0,3,12,71,31,90,4.57,1.43,701
,W,Spencer Bivens P • SF,68,44,1,0,0,4,2,2,0,3,52,20,70,3.8,1.31,702
,W,Alex Faedo P • TB,60,28,8,2,0,4,4,0,2,5,56,25,49,4.05,1.23,703
,W,Reid Detmers P • LAA,87,41,11,3,0,4,6,2,2,6,106,36,87,4.95,1.41,705
,W,Alex Cobb P • DET,70,13,13,5,1,4,3,0,0,0,58,17,74,3.73,1.3,707
,W,Jacob Lopez P • ATH,51,12,9,4,0,4,4,0,0,0,60,21,45,4.18,1.28,708
,W,Jordan Leasure P • CHW,51,55,1,0,0,3,4,5,5,12,60,26,43,4.53,1.34,709
,W,Taylor Clarke P • KC,56,53,1,0,0,2,2,2,1,7,50,13,47,4.02,1.07,710
,W,Daniel Lynch P • KC,57,35,4,1,0,4,2,1,0,4,41,20,52,3.47,1.26,711
,W,Mark Leiter P • NYY,54,61,0,0,0,4,6,2,4,17,68,20,55,4.5,1.39,713
