#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
270,Drew Thorpe,CHW,4,6,0,15,15,82,6.88,3.31,1.47,0.289,71.20%,40.60%,4.78,4.93,0.5
271,Christian Scott,NYM,3,3,0,31,5,53.1,8.77,2.4,1.24,0.285,73.90%,38.20%,3.79,3.9,0.5
272,Seranthony Domínguez,,3,3,0,63,0,63,10.26,4.07,1.01,0.291,74.20%,40.20%,3.74,3.8,0.5
273,Kai-Wei Teng,SFG,5,7,0,26,16,97,8.19,3.79,1.11,0.297,71.10%,43.80%,4.39,4.4,0.5
274,Kyle Hurt,LAD,3,3,0,27,5,49.1,9.3,3.68,1.17,0.293,73.70%,43.60%,3.99,4.1,0.5
275,Janson Junk,MIA,4,4,0,55,5,77.1,6.76,1.8,1.24,0.297,71.00%,42.60%,4.17,4.13,0.5
276,Cal Quantrill,,5,6,0,16,16,84.2,6.75,3,1.41,0.296,69.60%,39.50%,4.88,4.82,0.5
277,Gregory Soto,,3,3,0,59,0,59,10.01,3.64,0.87,0.298,74.50%,45.10%,3.47,3.57,0.5
278,Ryan Walker,SFG,3,3,30,63,0,63,9.71,2.79,0.85,0.299,74.50%,46.50%,3.3,3.31,0.5
279,Kohl Drake,ARI,4,5,0,13,13,74,7.54,3.48,1.22,0.297,71.60%,41.20%,4.46,4.5,0.5
280,Raisel Iglesias,ATL,3,3,29,66,0,66,9.72,2.62,1.15,0.296,74.20%,37.20%,3.71,3.62,0.5
281,Chris Martin,,2,2,0,39,0,39,9.09,2.02,0.98,0.298,74.20%,45.50%,3.38,3.31,0.5
282,Trey Gibson,BAL,3,3,0,8,8,46.1,7.64,3.39,1.12,0.303,71.60%,48.90%,4.31,4.34,0.5
283,Daniel Palencia,CHC,3,3,32,67,0,67,10.06,3.69,1.02,0.29,74.90%,40.70%,3.61,3.74,0.5
284,Justin Wilson,,3,2,0,50,0,50,9.86,3.19,1.03,0.29,75.80%,40.50%,3.44,3.61,0.5
285,Sam Hentges,SFG,3,3,0,54,0,54,9.31,3.06,0.8,0.302,74.50%,49.70%,3.34,3.36,0.5
286,Nestor Cortes,,3,4,0,10,10,53.1,8.05,2.87,1.47,0.285,72.60%,32.50%,4.41,4.53,0.5
287,Brusdar Graterol,LAD,3,2,0,52,0,52,8.12,2.92,0.92,0.301,73.80%,51.80%,3.62,3.75,0.5
288,Bryan Baker,TBR,3,3,7,66,0,66,9.85,3.28,1.22,0.292,74.40%,38.30%,3.88,3.9,0.5
289,Drew Pomeranz,,3,3,0,55,0,55,9.66,3.16,1.1,0.291,74.90%,38.70%,3.66,3.77,0.5
290,Justin Martinez,ARI,2,1,0,32,0,32,11.42,4.6,0.63,0.306,76.40%,50.50%,3.09,3.18,0.5
291,Bryan King,HOU,3,3,1,67,0,67,8.97,2.88,1.1,0.295,74.20%,43.10%,3.72,3.84,0.5
292,Brandon Young,BAL,5,6,0,31,13,89.1,7.58,2.7,1.44,0.297,71.80%,41.20%,4.52,4.52,0.5
293,Andrew Nardi,MIA,3,3,0,56,0,56,10.7,3.73,1.07,0.289,75.90%,37.10%,3.55,3.67,0.5
294,Bennett Sousa,HOU,3,2,0,54,0,54,9.86,3.28,1.06,0.293,74.80%,41.40%,3.6,3.67,0.5
295,Joe Jiménez,ATL,3,3,3,60,0,60,10.02,2.99,1.12,0.295,73.70%,35.80%,3.77,3.64,0.5
296,Cole Sands,MIN,3,3,5,68,0,68,8.91,2.83,1.09,0.297,72.50%,40.00%,3.92,3.82,0.5
297,Aaron Ashby,MIL,3,3,0,64,0,64,9.43,4.1,0.78,0.302,74.90%,52.50%,3.48,3.67,0.4
298,Angel Zerpa,KCR,3,3,1,61,0,61,8.2,3.21,0.82,0.308,73.80%,50.80%,3.6,3.69,0.4
299,Emilio Pagán,,3,3,0,66,0,66,9.74,3.16,1.29,0.283,74.50%,31.70%,3.9,3.98,0.4
300,Yimi García,TOR,3,3,4,61,0,61,10.06,3.14,1.09,0.29,74.50%,39.40%,3.62,3.66,0.4
