#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
124,Lars Nootbaar,STL,106,480,15,62,48,7,12.40%,20.10%,0.161,0.289,0.248,0.345,0.41,0.331,115,0.1,8.5,-6.2,1.9
125,Jackson Holliday,BAL,90,393,11,51,40,11,10.40%,21.20%,0.152,0.298,0.251,0.334,0.403,0.323,109,0.1,4.2,0.5,1.9
126,Luis García Jr.,WSN,108,453,15,52,57,12,5.50%,15.40%,0.165,0.296,0.274,0.315,0.439,0.324,108,-0.1,4.1,-1.1,1.8
127,Miguel Vargas,CHW,111,471,14,54,53,6,11.10%,19.40%,0.167,0.27,0.238,0.329,0.405,0.323,107,-0.4,3.2,-1.5,1.8
128,Colt Keith,DET,108,449,14,52,52,4,9.40%,20.00%,0.167,0.303,0.262,0.335,0.43,0.332,113,0.3,7.1,-4.9,1.8
129,Brandon Lowe,PIT,109,489,22,64,63,4,8.30%,25.50%,0.2,0.286,0.243,0.311,0.443,0.325,106,-0.7,3,-1.6,1.8
130,Kyle Teel,CHW,92,410,11,49,41,5,11.10%,25.00%,0.141,0.314,0.248,0.337,0.389,0.321,105,-0.6,2,1.1,1.8
131,Jeff McNeil,ATH,119,491,11,56,55,3,8.00%,12.80%,0.143,0.284,0.264,0.334,0.407,0.323,104,-1.7,0.7,-0.1,1.8
132,Jorge Polanco,NYM,109,469,20,58,63,5,9.80%,20.60%,0.19,0.276,0.248,0.326,0.438,0.331,116,-0.8,8,-6.1,1.8
133,Chase DeLauter,CLE,107,438,12,46,47,3,9.40%,18.90%,0.153,0.287,0.251,0.325,0.404,0.319,106,-0.5,2.4,-0.1,1.8
134,Wilyer Abreu,BOS,102,430,18,55,57,7,11.10%,24.50%,0.203,0.296,0.25,0.336,0.453,0.339,114,-0.3,6.7,-4.1,1.8
135,Max Muncy,LAD,86,351,16,45,45,2,14.80%,25.00%,0.213,0.255,0.222,0.346,0.434,0.34,119,-1.2,6.7,-1.1,1.8
136,Evan Carter,TEX,91,372,11,43,41,14,10.50%,21.80%,0.163,0.292,0.244,0.333,0.407,0.324,109,0.7,4.8,-0.5,1.7
137,Carlos Narváez,BOS,88,339,10,39,37,3,10.00%,26.00%,0.156,0.291,0.231,0.315,0.387,0.309,93,-0.6,-3.4,7.4,1.7
138,Lawrence Butler,ATH,115,480,19,60,58,16,8.80%,25.40%,0.189,0.295,0.245,0.313,0.434,0.323,104,1.4,3.9,-3.5,1.7
139,Kevin McGonigle,DET,72,293,7,35,32,6,10.90%,14.90%,0.155,0.281,0.256,0.341,0.41,0.33,112,-0.2,3.9,3,1.7
140,Hunter Goodman,COL,108,469,24,60,71,2,5.90%,25.40%,0.233,0.294,0.255,0.304,0.488,0.337,103,-0.6,1,-0.1,1.7
141,Randy Arozarena,SEA,147,631,21,77,74,21,9.90%,26.60%,0.17,0.293,0.233,0.329,0.403,0.322,113,-0.6,9,-14,1.7
142,Addison Barger,TOR,103,439,17,53,58,3,8.70%,23.80%,0.19,0.295,0.249,0.318,0.439,0.327,110,-0.5,4.8,-3.3,1.7
143,Josh Smith,TEX,114,471,10,54,46,8,9.60%,18.80%,0.129,0.288,0.245,0.331,0.375,0.312,101,-0.2,0.3,-0.1,1.7
144,Daulton Varsho,TOR,117,519,23,66,65,7,8.00%,25.70%,0.204,0.263,0.226,0.293,0.43,0.311,99,0,-0.3,-1.2,1.7
