#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
194,Hunter Harvey,CHC,3,2,5,52,0,52,10.08,2.76,0.95,0.293,74.50%,43.00%,3.35,3.3,0.7
195,Kutter Crawford,BOS,5,5,0,56,6,86,9.05,2.43,1.36,0.292,72.40%,33.50%,4.15,4.02,0.7
196,Ryan Weiss,HOU,5,5,0,47,10,92.1,8.46,3.41,1.16,0.303,71.70%,45.00%,4.29,4.22,0.7
197,Fernando Cruz,NYY,3,3,1,61,0,61,11.92,3.96,1.01,0.282,76.90%,36.90%,3.3,3.38,0.7
198,Griffin Canning,SDP,6,7,0,30,18,108.2,7.95,3.26,1.32,0.295,72.90%,41.70%,4.33,4.46,0.7
199,Tanner Scott,LAD,4,3,4,63,0,63,10.48,3.74,1.01,0.292,76.20%,44.40%,3.44,3.64,0.7
200,Robert Suarez,ATL,4,3,8,67,0,67,9.84,2.85,1.02,0.299,74.80%,41.80%,3.52,3.48,0.7
201,Chris Martin,TEX,3,2,4,54,0,54,9.15,2.05,1.02,0.299,74.10%,45.00%,3.44,3.36,0.7
202,Kyle Leahy,STL,7,8,0,46,18,128.1,7.02,3.35,1.15,0.298,71.80%,44.00%,4.35,4.45,0.7
203,Orion Kerkering,PHI,3,3,1,63,0,63,9.76,3.42,0.96,0.292,74.70%,44.80%,3.51,3.65,0.7
204,Pete Fairbanks,MIA,3,3,27,62,0,62,9.51,3.21,0.96,0.294,74.00%,42.90%,3.57,3.58,0.7
205,Janson Junk,MIA,5,6,0,48,10,92.2,6.52,1.92,1.28,0.297,70.50%,42.50%,4.33,4.28,0.7
206,Alek Manoah,LAA,5,8,0,19,19,107.2,7.66,3.71,1.39,0.295,70.50%,39.20%,4.83,4.87,0.7
207,Adrian Morejon,SDP,4,3,3,68,0,68,9.28,3.01,0.92,0.294,75.30%,45.20%,3.36,3.49,0.7
208,Brandon Sproat,MIL,4,4,0,28,10,73,7.52,3.34,1.11,0.295,71.90%,47.20%,4.19,4.33,0.7
209,Hurston Waldrep,ATL,4,4,0,13,13,73,7.94,4,1.01,0.307,71.60%,49.50%,4.32,4.28,0.7
210,Ben Brown,CHC,3,2,0,42,2,49,10.28,2.77,1.02,0.292,75.00%,41.50%,3.39,3.36,0.7
211,Matt Brash,SEA,3,3,3,63,0,63,10.74,3.52,0.8,0.291,76.60%,46.20%,3.05,3.2,0.7
212,Ryan Helsley,BAL,3,3,25,64,0,64,10.66,3.47,1.03,0.294,75.70%,40.10%,3.48,3.5,0.7
213,Matt Strahm,KCR,3,3,1,66,0,66,9.85,2.83,1.2,0.288,74.40%,31.20%,3.75,3.76,0.7
214,Andrew Painter,PHI,6,7,0,31,18,114.2,6.96,3.31,1.39,0.292,71.20%,42.50%,4.67,4.8,0.7
215,Luis Medina,ATH,5,6,0,45,11,97,8.24,3.79,1.23,0.297,71.90%,41.50%,4.45,4.5,0.6
216,Jacob Latz,TEX,6,6,0,51,11,103.1,8.6,4.38,1.23,0.29,73.30%,38.70%,4.36,4.56,0.6
217,Jon Gray,,3,4,0,10,10,54,7.69,2.97,1.33,0.295,71.40%,40.00%,4.46,4.45,0.6
218,Chase Dollander,COL,6,9,0,23,23,121.1,7.52,4.04,1.49,0.31,68.40%,41.20%,5.44,5.13,0.6
219,Corbin Burnes,ARI,2,2,0,6,6,38,8.94,2.81,0.96,0.306,71.90%,46.30%,3.84,3.59,0.6
220,Bryan Baker,TBR,3,3,3,63,0,63,10.11,3.3,1.11,0.287,74.80%,37.30%,3.65,3.68,0.6
221,Edwin Uceta,TBR,3,3,12,68,0,68,10.43,3.29,1.13,0.283,74.80%,34.80%,3.63,3.7,0.6
222,Jake Irvin,WSN,5,7,0,24,16,98.1,6.9,2.88,1.39,0.298,70.80%,42.10%,4.66,4.69,0.6
223,Alex Cobb,,2,2,0,6,6,36.2,7.5,2.88,0.93,0.309,72.00%,52.70%,3.93,3.87,0.6
224,Carmen Mlodzinski,PIT,4,4,0,53,3,66.2,8.22,3.11,0.95,0.303,72.60%,46.20%,3.87,3.83,0.6
225,Hunter Dobbins,STL,5,7,0,37,15,102.1,6.6,2.93,1.2,0.293,71.50%,44.30%,4.34,4.51,0.6
226,Stephen Kolek,KCR,4,4,0,36,8,74.2,6.57,2.75,0.98,0.312,70.70%,51.50%,4.26,4.16,0.6
227,Jose A. Ferrer,SEA,4,3,3,70,0,70,8.69,2.73,0.76,0.296,75.40%,52.50%,3.11,3.35,0.6
228,Payton Tolle,BOS,3,3,0,29,5,51,9.29,3.11,1.19,0.294,73.80%,39.10%,3.92,3.94,0.6
229,Camilo Doval,NYY,3,3,2,64,0,64,10.35,4.2,0.84,0.293,75.30%,47.70%,3.41,3.58,0.6
230,Alex Vesia,LAD,3,3,1,61,0,61,11.1,3.79,1.3,0.275,76.90%,30.00%,3.68,3.93,0.6
231,Cody Bradford,TEX,4,4,0,36,8,73.2,7.99,2.26,1.45,0.29,72.50%,34.90%,4.29,4.31,0.6
232,Erick Fedde,CHW,5,8,0,29,18,109,6.76,3.46,1.44,0.296,70.50%,41.60%,4.93,4.96,0.5
233,Jonathan Cannon,CHW,5,8,0,46,15,110.1,6.86,3.13,1.45,0.292,71.00%,40.30%,4.75,4.87,0.5
234,Aaron Bummer,ATL,3,3,0,60,0,60,9.22,3.4,0.71,0.312,74.10%,54.70%,3.4,3.42,0.5
235,Lucas Erceg,KCR,3,3,2,62,0,62,9.09,3.32,0.89,0.303,73.60%,46.40%,3.65,3.67,0.5
236,Troy Melton,DET,3,3,0,37,5,59.1,8.16,2.7,1.19,0.291,73.00%,40.10%,3.97,4.03,0.5
237,Gabe Speier,SEA,3,3,0,58,0,58,10.31,2.76,0.98,0.287,76.10%,41.20%,3.21,3.32,0.5
238,Blake Treinen,LAD,3,3,1,58,0,58,9.95,3.4,1.1,0.295,74.10%,42.30%,3.78,3.78,0.5
239,Robert Garcia,TEX,3,3,20,64,0,64,9.84,3.26,1.03,0.295,75.50%,42.10%,3.53,3.64,0.5
240,Seranthony Domínguez,CHW,3,3,20,63,0,63,10.16,4.14,1.09,0.289,74.40%,39.40%,3.84,3.96,0.5
241,Drew Pomeranz,LAA,3,3,3,58,0,58,9.8,3.21,1.15,0.293,74.90%,38.80%,3.73,3.84,0.5
242,Ryan Walker,SFG,3,3,27,63,0,63,9.72,2.81,0.85,0.299,74.50%,46.50%,3.29,3.3,0.5
243,Dylan Lee,ATL,3,3,1,65,0,65,9.89,2.73,1.19,0.293,75.80%,37.20%,3.59,3.65,0.5
244,Jared Koenig,MIL,3,3,1,65,0,65,9.46,3.2,1,0.294,75.40%,43.20%,3.49,3.68,0.5
245,Paul Blackburn,NYY,3,3,0,59,2,66,7.94,2.33,1.22,0.292,73.60%,44.30%,3.89,4.03,0.5
246,Brock Stewart,LAD,2,2,0,44,0,44,10.76,3.47,1.15,0.287,75.50%,37.90%,3.61,3.69,0.5
247,Mark Leiter Jr.,ATH,3,3,6,64,0,64,9.3,3.56,1.06,0.297,73.20%,44.50%,3.92,3.95,0.5
248,A.J. Puk,ARI,2,2,7,42,0,42,10.28,3.11,0.95,0.296,74.50%,40.60%,3.46,3.41,0.5
249,Raisel Iglesias,ATL,4,3,26,66,0,66,9.72,2.62,1.15,0.296,74.20%,37.20%,3.71,3.62,0.5
250,Randy Vásquez,SDP,8,10,0,38,24,143.1,6.27,3.29,1.41,0.292,70.10%,39.90%,4.89,5.03,0.5
251,Gregory Soto,PIT,3,3,4,61,0,61,9.74,3.7,0.83,0.302,73.90%,44.90%,3.57,3.61,0.5
252,Kyle Hurt,LAD,3,2,0,25,5,47.1,9.29,3.69,1.18,0.293,73.70%,43.50%,4.02,4.13,0.5
253,Tyler Anderson,LAA,5,7,0,18,18,99,6.85,3.55,1.46,0.287,70.90%,33.80%,4.89,5.02,0.5
254,Richard Fitts,STL,6,8,0,35,19,120.1,6.66,2.81,1.29,0.295,71.10%,42.40%,4.49,4.57,0.5
255,Spencer Arrighetti,HOU,5,6,0,29,13,87,8.89,3.85,1.35,0.292,71.60%,38.20%,4.54,4.55,0.5
256,Sean Newcomb,CHW,3,4,2,62,2,69,8.78,3.7,1.06,0.294,74.30%,43.90%,3.86,4.08,0.5
257,Daniel Palencia,CHC,3,3,30,67,0,67,10.05,3.69,1.02,0.29,74.80%,40.70%,3.61,3.73,0.5
258,Ben Joyce,LAA,2,2,10,48,0,48,10.98,4.17,0.89,0.296,75.60%,44.10%,3.42,3.53,0.5
259,Jason Adam,SDP,3,3,1,61,0,61,9.88,3.33,1.03,0.287,73.80%,40.60%,3.64,3.7,0.5
260,Cole Sands,MIN,3,3,2,68,0,68,8.94,2.84,1.08,0.299,72.40%,40.00%,3.92,3.8,0.5
261,Charlie Morton,,3,3,0,10,10,51.2,8.77,3.96,1.19,0.3,72.10%,43.60%,4.37,4.43,0.5
262,Bryan King,HOU,3,3,1,67,0,67,8.97,2.89,1.1,0.294,74.20%,43.10%,3.72,3.84,0.5
263,Kevin Ginkel,ARI,3,3,12,62,0,62,9.3,3.26,0.94,0.305,72.90%,43.00%,3.79,3.63,0.5
264,Andrew Nardi,MIA,3,3,0,56,0,56,10.69,3.74,1.07,0.289,75.80%,37.10%,3.56,3.67,0.5
265,Angel Zerpa,MIL,3,3,0,60,0,60,8.84,3.13,0.9,0.301,75.00%,49.70%,3.46,3.64,0.4
266,Caleb Thielbar,CHC,3,3,1,66,0,66,9.46,3.23,1.15,0.286,75.20%,37.60%,3.68,3.85,0.4
267,Colin Rea,CHC,4,5,0,44,8,80.2,7.47,2.51,1.35,0.294,71.60%,40.80%,4.36,4.38,0.4
268,Tyler Holton,DET,4,3,1,72,0,72,7.82,2.47,1.03,0.296,73.50%,44.70%,3.72,3.81,0.4
269,A.J. Minter,NYM,3,2,2,52,0,52,10.3,3.25,1.01,0.283,76.40%,38.20%,3.3,3.49,0.4
270,Aaron Ashby,MIL,3,3,1,64,0,64,9.4,4.1,0.79,0.302,74.90%,52.50%,3.49,3.69,0.4
271,Jonah Tong,NYM,2,1,0,13,3,27.2,10.39,3.74,0.93,0.289,75.70%,44.50%,3.38,3.51,0.4
272,Yimi García,TOR,3,3,4,56,0,56,10.11,3.13,1.07,0.288,74.70%,39.30%,3.56,3.62,0.4
273,Connor Prielipp,MIN,3,3,0,43,3,58.1,8.47,3.36,1.03,0.301,73.10%,43.90%,3.96,3.99,0.4
274,Jordan Montgomery,TEX,3,3,0,18,6,48.1,7.1,2.66,1.21,0.299,71.70%,42.80%,4.27,4.3,0.4
275,Tanner Banks,PHI,3,3,0,62,0,62,8.68,2.77,1.17,0.291,74.30%,41.20%,3.79,3.93,0.4
276,Marcus Stroman,,3,4,0,11,11,61.1,6.37,3.43,1.13,0.305,70.20%,49.10%,4.66,4.62,0.4
277,Jordan Leasure,CHW,3,3,5,64,0,64,9.97,4.12,1.24,0.285,75.00%,35.90%,3.97,4.19,0.4
278,Bennett Sousa,HOU,3,2,0,50,0,50,9.86,3.29,1.06,0.293,74.90%,41.40%,3.6,3.67,0.4
279,Justin Slaten,BOS,3,3,0,61,0,61,8.68,2.98,1.08,0.301,72.60%,42.50%,3.97,3.87,0.4
280,Kyle Finnegan,DET,3,3,4,64,0,64,8.77,3.22,0.99,0.296,73.30%,44.60%,3.77,3.78,0.4
281,Brusdar Graterol,LAD,2,2,0,46,0,46,8.13,2.92,0.93,0.301,73.80%,51.70%,3.63,3.76,0.4
282,Justin Wilson,,2,2,0,43,0,43,9.86,3.19,1.03,0.29,75.80%,40.50%,3.45,3.61,0.4
283,Jordan Romano,LAA,3,3,1,57,0,57,9.59,3.51,1.21,0.293,73.30%,38.20%,4.05,4.06,0.4
284,Yennier Cano,BAL,3,3,1,60,0,60,8.52,3.34,0.89,0.308,73.40%,51.90%,3.74,3.76,0.4
285,Andrew Kittredge,BAL,3,3,4,67,0,67,8.94,2.62,1.13,0.304,73.00%,44.30%,3.89,3.75,0.4
286,Robert Stephenson,LAA,3,3,15,60,0,60,9.97,3.12,1.28,0.289,74.20%,34.60%,3.93,3.91,0.4
287,Emilio Pagán,CIN,3,3,27,66,0,66,9.92,3.2,1.49,0.283,74.60%,31.40%,4.14,4.24,0.4
288,Sam Hentges,SFG,2,2,0,44,0,44,9.32,3.07,0.8,0.302,74.50%,49.70%,3.34,3.35,0.4
289,Taylor Rogers,MIN,3,3,20,61,0,61,9.39,3.91,1.04,0.298,73.70%,41.40%,3.94,4.01,0.4
290,Trevor McDonald,SFG,3,4,0,24,8,62.1,6.91,2.96,0.93,0.303,71.10%,52.00%,4.08,4.11,0.4
291,Graham Ashcraft,CIN,3,3,2,65,0,65,7.94,2.68,1.08,0.304,72.60%,48.90%,3.95,3.97,0.4
292,Brendon Little,TOR,3,2,0,54,0,54,9.52,4.53,0.72,0.301,75.90%,53.80%,3.37,3.69,0.4
293,Gavin Stone,LAD,2,2,0,19,5,41.1,8.12,2.82,1.33,0.294,72.70%,42.70%,4.22,4.29,0.4
294,Taijuan Walker,PHI,6,8,0,50,16,121.1,6.42,3.15,1.47,0.293,71.20%,41.80%,4.8,5.01,0.4
295,Kody Funderburk,MIN,3,3,3,65,0,65,8.65,3.69,0.83,0.306,73.70%,50.00%,3.69,3.8,0.4
296,Clarke Schmidt,NYY,2,2,0,17,3,32,9.16,2.92,1.22,0.286,74.40%,39.30%,3.79,3.97,0.4
297,Christian Scott,NYM,2,2,0,32,2,39,9.12,2.36,1.19,0.284,74.70%,38.10%,3.6,3.73,0.4
298,Dietrich Enns,BAL,3,3,0,62,0,62,8.09,2.68,1.15,0.301,73.60%,43.60%,3.94,4.01,0.4
