#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
244,Matt Svanson,STL,3,3,5,58,0,64.2,8.41,3.26,0.81,0.297,72.40%,,3.67,3.68,0.5
245,Trevor McDonald,SFG,3,3,0,19,8,56,7.15,3.18,1,0.294,70.60%,,4.19,4.23,0.5
246,Robert Garcia,TEX,3,4,17,62,0,60.2,9.68,3.2,1.01,0.294,73.60%,,3.65,3.62,0.5
247,Cole Sands,MIN,4,3,3,62,0,66,8.77,2.74,1.03,0.296,69.90%,,4,3.75,0.5
248,Sam Hentges,SFG,2,2,0,44,0,44.2,9.09,3.03,0.85,0.3,73.20%,,3.56,3.45,0.5
249,Gregory Soto,PIT,3,3,4,61,0,59,9.6,3.61,0.79,0.306,71.10%,,3.84,3.58,0.5
250,Tyler Holton,DET,4,4,1,62,1,68.2,7.51,2.18,1.09,0.275,72.90%,,3.61,3.86,0.5
251,Hurston Waldrep,ATL,4,4,0,11,11,58.1,7.79,4.11,1.01,0.291,69.80%,,4.42,4.37,0.5
252,Emilio Pagán,CIN,3,3,26,63,0,65,9.82,3.01,1.44,0.278,72.60%,,4.05,4.14,0.5
253,Tommy Nance,TOR,2,3,0,53,0,56.1,8.45,2.74,0.91,0.3,71.50%,,3.79,3.63,0.5
254,Kevin Ginkel,ARI,4,4,15,59,0,60.1,9.2,3.19,0.9,0.3,70.20%,,3.94,3.6,0.5
255,Tyler Rogers,TOR,4,4,2,67,0,67.1,6.14,1.77,0.88,0.289,71.00%,,3.69,3.77,0.5
256,Connor Prielipp,MIN,3,4,0,37,5,58,8.33,3.51,1.03,0.303,71.60%,,4.16,4.1,0.5
257,Jason Adam,SDP,4,3,2,51,0,52.1,9.61,3.16,0.97,0.278,74.30%,,3.42,3.64,0.5
258,Andrew Nardi,MIA,3,3,1,52,0,51.2,10.77,3.53,1.1,0.297,73.00%,,3.8,3.62,0.5
259,Sean Newcomb,CHW,3,3,1,54,3,73.1,8.56,3.77,0.97,0.295,72.20%,,4,4.05,0.5
260,Jimmy Herget,COL,2,3,2,62,1,71,8.29,2.87,1.29,0.302,69.50%,,4.49,4.28,0.5
261,Tyler Wells,BAL,4,4,0,41,5,69,8.15,2.27,1.51,0.275,70.30%,,4.28,4.35,0.5
262,JoJo Romero,STL,4,4,13,62,0,61.2,8.41,3.5,0.81,0.294,73.90%,,3.57,3.72,0.5
263,Phil Maton,CHC,4,3,6,63,0,63.1,9.69,3.31,0.95,0.285,71.70%,,3.7,3.7,0.5
264,A.J. Minter,NYM,3,3,1,47,0,48,9.97,3.18,0.98,0.285,74.60%,,3.42,3.48,0.5
