Action,Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank
,Big St...,Brent Rooker OF • ATH,569,83,153,86,32,2,33,92,60,165,7,1,0.269,0.343,0.506,25
,Like a...,Mookie Betts SS • LAD,546,95,151,97,27,3,24,85,68,72,12,2,0.277,0.356,0.469,26
,Big St...,Rafael Devers 1B • SF,577,94,151,83,34,2,32,99,88,165,2,1,0.262,0.363,0.494,27
,MAGA D...,Ketel Marte 2B • ARI,505,90,144,86,26,2,30,81,66,95,6,2,0.285,0.372,0.523,29
,Guillo...,Eugenio Suarez 3B • SEA,585,86,139,72,28,1,38,108,52,194,3,1,0.238,0.311,0.484,30
,Trex,Kyle Tucker OF • CHC,448,82,123,72,24,3,24,74,76,79,22,2,0.275,0.38,0.502,31
,Long B...,"Jazz Chisholm 2B,3B • NYY",470,70,117,73,16,2,26,72,50,143,32,8,0.249,0.326,0.457,32
,Rieken...,Jackson Chourio OF • MIL,541,85,147,89,33,4,21,78,33,121,21,7,0.272,0.315,0.464,33
,MAGA D...,Christian Yelich DH • MIL,478,78,132,88,21,1,22,79,60,129,20,4,0.276,0.361,0.462,34
,Runtim...,C.J. Abrams SS • WAS,565,86,142,85,32,6,19,62,37,124,34,6,0.251,0.312,0.43,35
,Young ...,Jarren Duran OF • BOS,578,86,156,87,42,11,16,72,51,150,27,6,0.27,0.336,0.464,36
,Guillo...,Randy Arozarena OF • SEA,581,90,137,82,30,1,24,73,70,177,26,8,0.236,0.34,0.415,38
,Big St...,Willy Adames SS • SF,589,90,136,79,27,1,29,93,76,174,13,4,0.231,0.32,0.428,39
,Like a...,Nico Hoerner 2B • CHC,598,90,172,132,30,3,7,58,42,61,32,6,0.288,0.343,0.383,40
,Runtim...,Bryce Harper 1B • PHI,507,78,139,78,34,0,27,78,74,126,10,3,0.274,0.37,0.501,41
,Dawg,"Jose Altuve 2B,OF • HOU",554,83,156,107,26,1,22,68,50,104,14,6,0.282,0.345,0.451,42
,Runtim...,Brandon Nimmo OF • TEX,583,85,148,95,27,2,24,87,63,147,12,1,0.254,0.333,0.43,43
,Big St...,Ronald Acuna Jr. OF • ATL,355,78,107,70,15,2,20,47,60,84,24,4,0.301,0.407,0.524,44
,Simba'...,Brice Turang 2B • MIL,540,79,144,106,23,3,12,64,56,125,32,7,0.267,0.336,0.387,45
,Big St...,Teoscar Hernandez OF • LAD,557,72,143,83,30,2,28,93,36,166,8,2,0.257,0.307,0.469,46
,Dawg,Seiya Suzuki OF • CHC,542,75,143,83,30,4,26,88,66,156,8,4,0.264,0.343,0.478,47
,Trex,Byron Buxton OF • MIN,411,77,107,54,22,5,26,67,34,126,16,1,0.26,0.326,0.528,48
,W,Wander Franco SS • TB,442,65,124,78,23,6,17,58,42,69,30,10,0.281,0.344,0.475,49
,Gashou...,William Contreras C • MIL,570,91,155,102,33,1,19,81,78,127,7,3,0.272,0.36,0.433,50
,Dawg,Riley Greene OF • DET,529,77,140,83,27,3,27,85,49,170,4,1,0.265,0.329,0.48,51
,Like a...,Yandy Diaz 1B • TB,565,75,170,117,31,1,21,77,56,93,2,1,0.301,0.368,0.471,53
,Trex,Marcell Ozuna DH • ATL,531,76,140,85,25,0,30,85,81,150,0,0,0.264,0.361,0.48,54
,MAGA D...,Geraldo Perdomo SS • ARI,481,82,134,91,27,4,12,70,71,76,19,4,0.279,0.374,0.426,55
,Dawg,Dansby Swanson SS • CHC,568,83,138,89,25,3,21,74,53,158,18,3,0.243,0.309,0.408,56
,Runtim...,Ian Happ OF • CHC,571,87,139,82,33,1,23,82,87,156,10,3,0.243,0.345,0.426,57
,Rieken...,Maikel Garcia 3B • KC,563,78,150,102,32,5,11,64,51,96,27,6,0.266,0.325,0.4,58
,Rieken...,James Wood OF • WAS,484,70,125,71,29,2,23,74,68,174,15,7,0.258,0.352,0.469,59
,Rieken...,Zachary Neto SS • LAA,471,70,118,67,28,1,22,61,32,132,23,8,0.251,0.317,0.454,60
,Big St...,Christian Walker 1B • HOU,553,75,136,80,27,1,28,90,49,154,4,1,0.246,0.316,0.45,61
,Dawg,Jeremy Pena SS • HOU,542,74,153,106,30,2,15,62,34,106,19,5,0.282,0.337,0.428,62
,Long B...,Wyatt Langford OF • TEX,493,73,121,74,25,2,20,66,65,138,21,5,0.245,0.337,0.426,64
,Young ...,Bryson Stott 2B • PHI,518,68,134,96,23,2,13,62,51,93,28,4,0.259,0.325,0.386,66
,Runtim...,Taylor Ward OF • BAL,536,77,127,70,27,2,28,83,64,152,5,2,0.237,0.32,0.452,67
,Big St...,Adolis Garcia OF • TEX,538,71,124,71,28,0,25,84,40,156,12,4,0.231,0.288,0.422,69
,MAGA D...,Spencer Steer 1B • CIN,543,70,131,79,28,3,21,82,61,133,14,2,0.241,0.325,0.42,70
,W,Nick Castellanos OF • PHI,580,76,149,95,30,3,21,83,36,145,6,1,0.257,0.305,0.428,71
,Young ...,Marcus Semien 2B • NYM,564,86,137,91,24,2,20,73,59,100,11,2,0.243,0.316,0.399,72
,Magnum...,Andy Pages OF • LAD,514,71,136,87,26,1,22,71,29,125,9,5,0.265,0.31,0.448,73
,W,Corey Seager SS • TEX,428,68,122,72,24,0,26,66,55,90,2,0,0.285,0.369,0.523,75
,Gashou...,Pete Crow-Armstrong OF • CHC,410,60,99,55,22,4,18,62,21,108,26,5,0.241,0.284,0.446,77
,Dawg,Steven Kwan OF • CLE,584,84,161,121,26,3,11,52,57,60,18,5,0.276,0.342,0.387,78
,Dawg,Bryan Reynolds OF • PIT,595,73,154,97,34,3,20,80,56,161,7,2,0.259,0.329,0.427,79
,Trex,Jackson Merrill OF • SD,483,66,133,81,27,6,19,76,32,105,7,2,0.275,0.321,0.474,82
,Trex,"Salvador Perez C,1B • KC",583,56,146,88,30,0,28,97,31,128,0,0,0.25,0.3,0.446,84
,Rieken...,Ozzie Albies 2B • ATL,540,72,136,90,26,2,18,75,45,88,12,2,0.252,0.313,0.407,85
,Rieken...,Shea Langeliers C • ATH,475,64,117,62,25,1,29,73,37,124,5,2,0.246,0.302,0.486,86
,Gashou...,Alex Bregman 3B • BOS,515,76,137,85,29,1,22,73,57,78,2,1,0.266,0.346,0.454,87
,Trex,Vinnie Pasquantino 1B • KC,506,60,132,78,29,1,24,91,42,81,1,0,0.261,0.32,0.464,88
,Magnum...,Michael Harris OF • ATL,538,60,140,94,24,4,18,69,20,112,17,6,0.26,0.289,0.42,89
,MAGA D...,Matt Chapman 3B • SF,501,81,120,65,31,2,22,65,67,143,10,3,0.239,0.335,0.441,90
,Big St...,Gleyber Torres 2B • DET,561,82,146,104,24,0,18,70,75,111,6,3,0.26,0.348,0.399,91
,Magnum...,Brandon Lowe 2B • TB,444,68,111,66,18,1,26,72,39,132,4,1,0.25,0.314,0.471,95
,MAGA D...,Lourdes Gurriel OF • ARI,514,61,134,86,26,2,20,79,31,89,8,2,0.261,0.307,0.436,99
,Young ...,Agustin Ramirez C • MIA,537,72,124,69,33,1,21,67,36,113,16,3,0.231,0.287,0.413,100
,Trex,Luis Arraez 1B • SD,616,72,191,149,31,4,7,58,31,26,9,3,0.31,0.345,0.407,101
,Long B...,Luis Robert OF • CHW,418,58,98,60,19,0,19,53,34,133,27,7,0.234,0.297,0.416,102
,W,Luis Garcia 2B • WAS,483,63,128,86,25,2,15,64,27,80,15,5,0.265,0.302,0.418,106
,Young ...,Anthony Volpe SS • NYY,569,72,126,75,29,5,17,66,44,155,22,7,0.221,0.28,0.38,107
,Dawg,Chandler Simpson OF • TB,414,53,122,104,15,3,0,26,20,43,44,12,0.295,0.326,0.345,108
,Like a...,Brenton Doyle OF • COL,493,63,118,77,22,3,16,60,33,145,22,4,0.239,0.287,0.394,110
,Rieken...,Bo Bichette SS • TOR,498,62,146,98,33,1,14,71,31,88,4,2,0.293,0.337,0.448,112
,Trex,Paul Goldschmidt 1B • NYY,543,77,143,93,32,1,17,58,50,134,8,1,0.263,0.328,0.42,113
,Gashou...,Cedric Mullins OF • NYM,432,60,97,57,21,2,17,60,46,110,24,4,0.225,0.302,0.401,114
,W,Will Smith C • LAD,417,71,113,72,21,2,18,68,60,94,2,2,0.271,0.368,0.46,117
,Guillo...,Alec Bohm 3B • PHI,510,60,144,100,28,2,14,78,35,86,3,1,0.282,0.331,0.427,118
,Dawg,Michael Busch 1B • CHC,425,63,108,59,22,3,24,66,48,124,3,0,0.254,0.337,0.489,119
,Gashou...,Xander Bogaerts SS • SD,493,63,132,92,26,1,13,51,44,93,18,2,0.268,0.329,0.404,120
,W,Austin Riley 3B • ATL,463,69,122,75,24,2,21,63,36,134,2,1,0.264,0.322,0.46,121
,Simba'...,Drake Baldwin C • ATL,405,56,111,72,18,2,19,80,38,68,0,0,0.274,0.341,0.469,123
